sample_id	adeA	adeB	adeC	adeI	adeJ	adeK	adeR	adeS	blaOXA-23	blaOXA-69	crr_adeA	crr_adeB	crr_adeC	crr_adeI	crr_adeJ	crr_adeK	crr_adeR	crr_adeS	crr_blaOXA-23	crr_blaOXA-69
ERR190475	1	1	1	1	1	1	1	1	1	1	1.1730303355291722	1.1162750799630374	1.2463901405880515	1.1672516525708376	1.199914419325104	1.212904901452752	1.0226218562515634	1.207749029794883	1.2650253842363754	1.089254939922998
ERR190476	1	1	1	1	1	1	1	1	1	1	1.1508515419909549	0.8792176096704968	0.0012357740176911	1.1615980269365007	1.2427278878839372	1.3543023745274605	1.1323438387897666	1.3717474078503555	0.0024953085043819	1.1306248736880842
ERR190477	1	1	1	1	1	1	1	1	1	1	1.243065701496311	0.832318964513017	0.0014203281657483	1.0869657529341878	1.1789965099971782	1.1495350920118732	1.046793779725529	1.249019700996009	0.0	1.1186488369763683
ERR190478	1	1	1	1	1	1	1	1	2	1	1.2009779459524197	1.0864797332325271	1.2170881927201045	1.1182210688868568	1.183492151856005	1.2636601477158391	1.0039577547769891	1.3110117616035524	3.941810806118889	1.194854212754212
ERR190479	1	1	1	1	1	1	1	1	1	1	1.214174452751681	1.146711035306646	1.194898647120898	1.097052467045629	1.144141937424654	1.1718938594160568	1.1706402327147858	1.2086268376698357	1.3543345536363909	1.2170399759553827
ERR190480	1	1	1	1	1	1	1	1	1	1	1.2286024299457012	1.172139495638018	1.2873189140730228	1.112750955252591	1.279973571803644	1.290591042459554	0.9962324801152792	1.2974467047885545	1.308491986369268	1.1284342085993329
ERR190481	1	1	1	1	1	1	1	1	1	1	1.330096349150642	0.8522279710698174	0.0014940475522925	1.1750026731152186	1.2142405975727777	1.302623333593096	1.0785746020390103	1.3690216671411617	0.0030528420562382	1.1046704491297377
ERR190482	1	1	1	1	1	1	1	1	1	1	0.0596265019838547	0.4544136751184285	1.2289249721415243	1.064912061291499	1.0216985398477194	1.1243443937047282	0.0361606092792116	0.837095831322653	1.2725410645861548	1.1886365219843391
ERR190483	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1.075468484574599	1.0272187083551068	0.226393052815424	1.2040281959653054	1.157554988237344	1.090876463811287	1.2620630382359903	1.3581078721131776	2.057109408943859	1.772725340594603
ERR190484	1	1	1	1	1	1	1	1	1	1	1.187681818016272	1.155973555765772	1.203270690229973	1.162381159315522	1.195564681881412	1.2450899470762296	1.1749879446110596	1.259625485948744	1.3632054965803484	1.0467323700902964
ERR190486	2	1	1	1	1	1	1	1	2	1	1.8935070983812037	1.1415449839996965	1.2571685004354003	1.3425152849875166	1.2332536225859407	1.2548818468907132	1.039191241385107	1.5090455493367334	2.5301092547259194	1.2657506055517562
ERR190487	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1.3308711977546197	0.8914557601328952	1.0644561726874602	1.4953637119044385	1.1401580297484992	0.8718052425569921	1.322768430960517	1.4634634190299194	1.2082445084393152	0.9170228767928904
ERR190488	1	1	1	1	1	1	1	1	1	1	1.2410276674367289	1.1840349720724808	1.3201287206082948	1.1294804703322303	1.1614614793632587	1.244666793029248	1.130709315581523	1.2653408424080714	1.2443107208498208	1.2329053298404458
ERR190489	1	1	1	1	1	1	1	1	2	1	1.2030464496810258	1.2331428592830962	0.9091716148640544	1.0111297480824109	1.2118700325235203	1.2421465629703905	1.1698237076400346	1.1884303451155815	2.183964655592926	0.9043273494530236
ERR190490	1	1	1	1	1	1	1	1	2	1	1.217231873716098	1.134231174661437	1.1167009350335684	1.1347584729031546	1.189961687234589	1.2134417369470334	1.027463155765618	1.281448273610301	2.4497067882507717	1.1336388788077003
ERR190491	1	1	1	1	1	1	1	1	2	1	1.2346152642924475	1.2018313722335017	1.2660169035551951	1.0435785369458774	1.25441201256844	1.3046897789620746	1.113520319404835	1.315610095050805	2.598596539882954	1.018269849097481
ERR190492	1	1	1	1	1	1	1	1	1	1	1.1980822839798022	0.8756552883935268	0.0	1.0998104951262229	1.13736753440797	1.1488042675319854	1.059348033157104	1.285554574630687	0.0009599606702215	1.1751307599712284
ERR190493	1	1	1	1	1	1	1	1	2	1	1.2729809051217094	1.153014625176489	1.1456895691869715	1.1822570934593448	1.2292105803364457	1.2116454071156608	1.1217019714012797	1.312757678453946	2.6849344073510166	1.0549900069733416
ERR190494	1	1	1	1	1	1	1	1	1	1	1.269661823626281	1.1956450388115711	1.172582463271859	1.2215456749576452	1.1763571997213649	1.2752527758625791	1.1297042571292264	1.2286975954135169	1.4181948777227036	1.0940606845553211
ERR190495	1	1	1	1	1	1	1	1	1	1	1.2172483050458054	1.1878011723968052	1.2030771160010985	1.1058560698933708	1.196100711368466	1.2943817016512111	1.1358986527367334	1.369703285670173	1.2448062554085126	1.1414052000982464
ERR190496	1	1	1	1	1	1	1	1	1	1	1.35914722706541	1.1833477732866784	1.2108835267670022	1.1487424756173006	1.2326640657780463	1.1955997799220903	1.103844288056304	1.2349196091685266	1.375737739364003	1.157736588301914
ERR190497	1	1	1	1	1	1	1	1	2	1	1.715936357506398	1.3434675639534928	1.1521554918233483	1.3657919257056506	1.1861533508086604	1.1879693036505097	0.7405840525474644	1.593681029867115	3.0399597110899035	1.475186900931486
ERR190498	1	1	1	1	1	1	1	1	2	1	1.094983169458786	1.07922911234298	1.141823098153364	1.0502533768910562	1.2250191201487903	1.1780936458128022	0.990516740114428	1.1951064251579986	2.7023538717800992	1.0097900097347237
ERR190499	1	1	1	1	1	1	1	1	2	1	1.2211167436437975	1.207244955439851	1.33832093796828	1.17018416960539	1.216085485293097	1.3230191804721017	1.1667984553545696	1.2557711648142738	2.594752718262044	1.1959397399777807
ERR190500	1	1	1	1	1	1	1	1	2	1	1.1642932366444083	1.2495960240882336	1.2542133812485643	1.0883050825697012	1.176821858503057	1.1276411976514735	1.050137191237183	1.4251584125771597	2.581769829060889	1.0898670829117474
ERR190501	1	1	1	1	1	1	1	1	2	1	1.1512723610881102	1.1725812388659065	1.256336644558735	1.1770890127229912	1.203718941469457	1.2690776719387993	1.1056131196348218	1.3151609222114735	2.457796834743383	1.1378505206711793
ERR190502	1	1	1	1	1	1	1	1	1	1	1.0038047301470563	1.010434582228626	0.9812479318879636	1.0553109290711409	1.0268111608735493	0.9703654974142352	0.9811482760522932	0.9975038048144632	0.5307623077148984	0.8596883036357015
ERR190503	1	1	1	1	1	1	1	1	1	1	0.8697070404534573	0.971477552578178	0.9762244767329834	0.972563464981459	1.0032022725851522	0.9533190523108968	1.002049158850056	0.8899420738435241	0.4737276970803255	0.9735888992635467
ERR190504	1	1	1	1	1	1	1	1	1	1	1.2340226181346248	0.8775596019316503	0.0024264005665519	1.122208798383194	1.1855731807033778	1.157652992679174	1.0924702172255092	1.4305877666031015	0.0036622449157405	1.2456630320967983
ERR190505	1	1	1	1	1	1	1	1	1	1	0.6753744105246317	1.1568252965118146	1.2047883963043884	1.1800694582490292	1.1091223822126215	1.202336539274209	0.0009540228332667	0.0033656919925302	0.0	1.060039455831797
ERR190506	1	1	1	1	1	1	1	1	1	1	0.0022890394039495	0.0032034599191155	0.0022884971825148	1.076534770965685	1.1702865990145994	1.234225161667386	0.0009844708142762	0.0	0.0023361601081583	1.1142182820958355
ERR197551	1	1	1	1	1	1	1	1	1	1	1.30365879627092	0.8760088095914106	0.0073020461063959	1.1662434837289075	1.1704055704260783	1.3098487028211874	1.0006712232797803	1.190519669200521	0.0	1.122465459915701
ERR197552	1	1	1	1	1	1	1	1	1	1	0.6514426722848621	1.15210350513743	1.1904019458056154	1.111135456056256	1.1456532057972588	1.235285748005034	0.0	0.0013213652479552	0.0	1.046664374503484
ERR197553	1	1	1	1	1	1	1	1	1	1	1.2029040921022074	0.8933605944086092	0.0	0.9991263884388406	1.138311456462519	1.183607149511443	1.0400802931160544	1.312534141373174	0.0	1.1788871650582406
ERR197554	1	1	1	1	1	1	1	1	1	1	0.6108448383054272	1.1310185259326355	1.2147878679789057	1.1271739745663634	1.1812776359950323	1.273032276554929	0.0019206091688897	0.0011290700029747	0.0	1.1552437449370845
ERR197555	1	1	1	1	1	1	1	1	1	1	0.6581424366368211	1.1241470153366249	1.2137666957335589	1.0864046503487703	1.1797948433385157	1.19002686961072	0.0047369257727508	0.0077950187676223	0.0	1.1856153109408816
ERR197556	1	1	1	1	1	1	1	1	1	1	1.1683607790842416	0.8778380181328996	0.0079192328326714	1.1297705005027865	1.2106914900234622	1.2666060372718826	0.9556512932459836	1.2398190053025462	0.0	1.2703542547333675
ERR197559	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1.1936708860759522	1.1336594478216846	0.4773777130924518	1.4492827868852485	1.086863184876644	1.207813000320207	0.4775288011140662	0.2386586523252141	0.0	0.9792951255922644
ERR197560	1	1	1	1	1	1	1	1	1	1	1.0103676946337088	0.8390308296700182	0.0	1.0165610255616884	1.0702243843701946	1.083371725519581	1.0638501855375568	1.365638230924452	0.0	1.2215550463306817
ERR197566	1	1	1	1	1	1	1	1	1	1	1.0447366455011549	0.7949487317974712	0.0191384672532769	1.0724084941357046	1.0572325003328766	1.0012531531212403	0.981795028935102	1.25519120816396	0.0	1.1233360190526456
ERR197569	1	1	1	1	1	1	1	1	1	1	0.0310152030873525	0.4592726296461782	1.168858688611781	1.0316232657846305	1.0374533940121295	1.0650697920107444	0.0031358992378301	0.8039717753214256	0.0	1.0880373936666152
ERR197570	1	1	1	1	1	1	1	1	1	1	0.9971206044714775	1.1592121010319607	1.3481822601333762	1.0758697157508614	1.003249541380426	1.1457126363084074	1.0311673050575505	1.3338686160151552	0.0	1.0355343542327144
ERR197576	1	1	1	1	1	1	1	1	1	1	0.9619506188438012	0.7931888325667458	0.0	0.9882185824420952	0.9972559431687475	0.9684253868544056	0.9294737928441076	1.179603474690344	0.0	1.1990010600377474
ERR197577	1	1	1	1	1	1	1	1	1	1	1.0311383092388184	0.8116472728258709	0.0	0.9462037903148478	0.9369592481609906	1.011133321146587	0.8843243732837768	1.14653988817537	0.0	1.2177759737638896
ERR197578	1	1	1	1	1	1	1	1	1	1	1.127363071523718	0.8050240405885906	0.0	1.1188093167989692	1.1258046082824111	1.1380825122130709	1.053992427925568	1.2203061555786057	0.0	1.0713495759702032
ERR197579	1	1	1	1	1	1	1	1	1	1	0.9405421318999836	0.8109846895594189	0.0013225480620919	1.0376870000344365	0.9985002204197878	1.105937167750611	0.9772449298313374	1.2208992051394254	0.0	1.0649760386470832
ERR197580	1	1	1	1	1	1	1	1	1	1	0.8744422384647471	0.7016575557879922	0.0029486207623696	0.9681896658169362	0.9548197079789088	1.1063481143298113	0.8752564575079231	1.1471898220127357	0.0	1.166334115254031
ERR197581	1	1	1	1	1	1	1	1	1	1	0.8852018492951911	0.7316071200389843	0.0	1.1224978391084364	1.0676498183056786	1.162159045270822	0.8823022719159394	1.2148886259986975	0.0	1.075299628800797
ERR197582	1	1	1	1	1	1	1	1	1	1	0.9503896890069424	0.7796602027112265	0.0037452062761271	1.1010577087402045	1.099062655128656	1.1140548098913252	0.9342320572638844	1.1564789399100452	0.0	1.0240616829422184
ERR197583	1	1	1	1	1	1	1	1	1	1	1.223619155061656	0.8393724170614006	0.0	1.1532701323488317	1.1473526982106104	1.1643634102539313	1.0792267188936475	1.306514157643372	0.0	1.127453313863552
ERR197584	1	1	1	1	1	1	1	1	1	1	0.9387009108033398	0.8007816660603587	0.0	1.0140101717431802	0.9962535782137258	1.0280549210080243	0.8930620320597901	1.170897689721091	0.0	1.0780188911279078
ERR197585	1	1	1	1	1	1	1	1	1	1	0.962835190436556	0.7032932565011072	0.0040559050696844	1.0879530832956523	1.0253255628918418	1.1094783253510276	0.9590260710241733	1.2602432957159757	0.0	1.170376203989532
ERR197586	1	1	1	1	1	1	1	1	1	1	1.0263944442651491	0.8109956629225683	0.0	1.0155604043346824	1.023088694607034	1.048960612370473	0.9939219767493788	1.218374495109772	0.0	1.0362651523674649
ERR197587	1	1	1	1	1	1	1	1	1	1	0.937694730998811	0.6956074594236703	0.0012318714744673	0.9828498008193962	0.9607731970072028	1.1131824025961747	0.8334988139246297	1.2197899554960794	0.0	1.1141358598920723
ERR197588	1	1	1	1	1	1	1	1	1	1	0.9544465610098964	0.7670563664852948	0.0	1.0814553103511853	1.0898217282968092	1.1385695927317117	0.8728404471435804	1.1704685352320106	0.0	1.0729559128343449
ERR197589	1	1	1	1	1	1	1	1	1	1	0.961470551310402	0.7309676337345763	0.0024303166211571	1.041039619859425	1.1301628154822172	1.1175799708876186	0.93357457648605	1.2312443909333466	0.0	1.043037037317806
ERR197590	1	1	1	1	1	1	1	1	1	1	0.0	0.0041232165306563	0.0	0.9713775179997256	1.0757046936450383	1.181320704657462	0.0069893485220632	0.9455825632880468	0.0	1.2253925675668742
ERR197591	1	1	1	1	1	1	1	1	1	1	1.0956601380028044	0.7672613625110671	0.0	1.016729576177359	1.0984725251361456	1.1644502107399153	0.951673696641309	1.4032933361587276	0.0	1.038413312675575
ERR197592	1	1	1	1	1	1	1	1	1	1	1.1451419211540652	0.8202108615852947	0.0	1.0849302817941815	1.1388290176127382	1.1633342695603566	0.997676538435506	1.292925400207645	0.0	1.1992731799433616
ERR197593	1	1	1	1	1	1	1	1	1	1	1.0953872656184478	0.7952332359256196	0.0103335324607525	1.0349321975567494	0.9285960408926472	1.0393427825970185	0.957039408018472	1.353590217577259	0.0	1.1884610850105235
ERR197594	1	1	1	1	1	1	1	1	1	1	1.1820361521921037	1.10436403379907	1.1072094866284323	1.1172573147118043	1.133265611309516	1.1206421113067695	1.0085654224845082	1.21988570573165	0.0	1.0920385668273294
