accession	layout	r1_url	r2_url	biosample	read_count	stratum
ERR017261	PAIRED	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR017/ERR017261/ERR017261_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR017/ERR017261/ERR017261_2.fastq.gz	SAMEA734687	1954964	r
ERR017262	PAIRED	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR017/ERR017262/ERR017262_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR017/ERR017262/ERR017262_2.fastq.gz	SAMEA734686	1773888	r
ERR017263	PAIRED	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR017/ERR017263/ERR017263_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR017/ERR017263/ERR017263_2.fastq.gz	SAMEA734789	942525	r
ERR017267	PAIRED	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR017/ERR017267/ERR017267_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR017/ERR017267/ERR017267_2.fastq.gz	SAMEA734696	1564177	r
ERR017268	PAIRED	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR017/ERR017268/ERR017268_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR017/ERR017268/ERR017268_2.fastq.gz	SAMEA734699	2892489	r
ERR017269	PAIRED	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR017/ERR017269/ERR017269_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR017/ERR017269/ERR017269_2.fastq.gz	SAMEA734700	2113467	r
ERR017270	PAIRED	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR017/ERR017270/ERR017270_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR017/ERR017270/ERR017270_2.fastq.gz	SAMEA734697	2788545	r
ERR017271	PAIRED	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR017/ERR017271/ERR017271_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR017/ERR017271/ERR017271_2.fastq.gz	SAMEA734698	2707484	r
ERR017274	PAIRED	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR017/ERR017274/ERR017274_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR017/ERR017274/ERR017274_2.fastq.gz	SAMEA734701	2281350	r
ERR017275	PAIRED	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR017/ERR017275/ERR017275_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR017/ERR017275/ERR017275_2.fastq.gz	SAMEA734702	2171440	r
