accession	layout	r1_url	r2_url
ERR1218576	PAIRED	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR121/006/ERR1218576/ERR1218576_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR121/006/ERR1218576/ERR1218576_2.fastq.gz
ERR1218577	PAIRED	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR121/007/ERR1218577/ERR1218577_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR121/007/ERR1218577/ERR1218577_2.fastq.gz
ERR1218578	PAIRED	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR121/008/ERR1218578/ERR1218578_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR121/008/ERR1218578/ERR1218578_2.fastq.gz
ERR1218579	PAIRED	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR121/009/ERR1218579/ERR1218579_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR121/009/ERR1218579/ERR1218579_2.fastq.gz
ERR1218580	PAIRED	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR121/000/ERR1218580/ERR1218580_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR121/000/ERR1218580/ERR1218580_2.fastq.gz
ERR12186955	PAIRED	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR121/055/ERR12186955/ERR12186955_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR121/055/ERR12186955/ERR12186955_2.fastq.gz
ERR12186956	PAIRED	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR121/056/ERR12186956/ERR12186956_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR121/056/ERR12186956/ERR12186956_2.fastq.gz
ERR12186957	PAIRED	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR121/057/ERR12186957/ERR12186957_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR121/057/ERR12186957/ERR12186957_2.fastq.gz
ERR12186958	PAIRED	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR121/058/ERR12186958/ERR12186958_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR121/058/ERR12186958/ERR12186958_2.fastq.gz
ERR12186959	PAIRED	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR121/059/ERR12186959/ERR12186959_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR121/059/ERR12186959/ERR12186959_2.fastq.gz
ERR12186960	PAIRED	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR121/060/ERR12186960/ERR12186960_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR121/060/ERR12186960/ERR12186960_2.fastq.gz
ERR12186964	PAIRED	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR121/064/ERR12186964/ERR12186964_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR121/064/ERR12186964/ERR12186964_2.fastq.gz
ERR12186966	PAIRED	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR121/066/ERR12186966/ERR12186966_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR121/066/ERR12186966/ERR12186966_2.fastq.gz
ERR12186970	PAIRED	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR121/070/ERR12186970/ERR12186970_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR121/070/ERR12186970/ERR12186970_2.fastq.gz
