sample_id	Species	ST	sample_accession
DRR015585	Klebsiella pneumoniae		SAMD00013571
DRR057925	Klebsiella pneumoniae	ST29	SAMD00049595
DRR057926	Klebsiella pneumoniae	ST29	SAMD00049596
DRR061405	Klebsiella pneumoniae	ST258	SAMD00052601
DRR061406	Klebsiella pneumoniae	ST1593	SAMD00052602
DRR061407	Klebsiella pneumoniae	ST258	SAMD00052603
DRR061412	Klebsiella pneumoniae	ST2252	SAMD00052606
DRR061421	Klebsiella pneumoniae	ST258	SAMD00052619
DRR061423	Klebsiella pneumoniae	ST258	SAMD00052621
DRR061427	Klebsiella pneumoniae	ST258	SAMD00052625
DRR065624	Klebsiella variicola	ST2288	SAMD00055778
DRR065636	Klebsiella variicola	ST681	SAMD00055790
DRR067537	Klebsiella pneumoniae	ST225	SAMD00057819
DRR067538	Klebsiella pneumoniae	ST225	SAMD00057820
DRR067539	Klebsiella pneumoniae	ST225	SAMD00057821
DRR067540	Klebsiella pneumoniae	ST225	SAMD00057822
DRR400307	Klebsiella pneumoniae	ST340	SAMD00058062
DRR400308	Klebsiella pneumoniae	ST11	SAMD00059718
DRR400310	Klebsiella pneumoniae	ST231	SAMD00059720
DRR400311	Klebsiella pneumoniae	ST231	SAMD00059724
DRR400312	Klebsiella pneumoniae	ST35	SAMD00059725
DRR400313	Klebsiella pneumoniae	ST231	SAMD00059730
DRR400315	Klebsiella pneumoniae	ST231	SAMD00059733
DRR400317	Klebsiella pneumoniae	ST14	SAMD00059736
DRR400319	Klebsiella pneumoniae	ST231	SAMD00059738
DRR400320	Klebsiella pneumoniae	ST2071	SAMD00059739
DRR400321	Klebsiella pneumoniae	ST231	SAMD00059742
DRR140922	Klebsiella pneumoniae	ST147	SAMD00059761
DRR076334	Klebsiella pneumoniae	ST258	SAMD00066597
DRR076945	Klebsiella pneumoniae	ST15	SAMD00066850
DRR076946	Klebsiella pneumoniae	ST15	SAMD00066851
DRR076947	Klebsiella pneumoniae	ST15	SAMD00066852
DRR076948	Klebsiella pneumoniae	ST15	SAMD00066853
DRR076949	Klebsiella pneumoniae	ST15	SAMD00066854
DRR076950	Klebsiella pneumoniae	ST15	SAMD00066855
DRR076951	Klebsiella pneumoniae	ST15	SAMD00066856
DRR076952	Klebsiella pneumoniae	ST15	SAMD00066857
DRR076953	Klebsiella pneumoniae	ST15	SAMD00066858
DRR076954	Klebsiella pneumoniae	ST15	SAMD00066859
DRR076955	Klebsiella pneumoniae	ST307	SAMD00066860
DRR076956	Klebsiella pneumoniae	ST15	SAMD00066861
DRR076957	Klebsiella pneumoniae	ST15	SAMD00066862
DRR076958	Klebsiella pneumoniae	ST15	SAMD00066863
DRR076959	Klebsiella pneumoniae	ST15	SAMD00066864
DRR076960	Klebsiella pneumoniae	ST395	SAMD00066865
DRR076961	Klebsiella pneumoniae	ST15	SAMD00066866
DRR076962	Klebsiella pneumoniae	ST15	SAMD00066867
DRR076963	Klebsiella pneumoniae	ST15	SAMD00066868
DRR076964	Klebsiella pneumoniae	ST16	SAMD00066869
DRR076965	Klebsiella pneumoniae	ST16	SAMD00066870
DRR076966	Klebsiella pneumoniae	ST2353	SAMD00066871
DRR076967	Klebsiella pneumoniae	ST147	SAMD00066872
DRR076968	Klebsiella pneumoniae	ST16	SAMD00066873
DRR076969	Klebsiella pneumoniae	ST15	SAMD00066874
DRR076970	Klebsiella pneumoniae	ST16	SAMD00066875
DRR076971	Klebsiella pneumoniae	ST395	SAMD00066876
DRR098844	Klebsiella pneumoniae	ST45	SAMD00085834
DRR100990	Klebsiella quasipneumoniae	ST1584	SAMD00092884
DRR100991	Klebsiella quasipneumoniae	ST526	SAMD00092885
DRR100992	Klebsiella pneumoniae	ST1	SAMD00092886
DRR100993	Klebsiella pneumoniae	ST844	SAMD00092887
DRR100994	Klebsiella quasipneumoniae	ST1822	SAMD00092888
DRR100995	Klebsiella pneumoniae	ST15	SAMD00092889
DRR100996	Klebsiella pneumoniae	ST2785	SAMD00092890
DRR100997	Klebsiella quasipneumoniae	ST2786	SAMD00092891
DRR100998	Klebsiella quasipneumoniae	ST2787	SAMD00092892
DRR100999	Klebsiella quasipneumoniae	ST1584	SAMD00092893
DRR101000	Klebsiella quasipneumoniae	ST2788	SAMD00092894
DRR101001	Klebsiella quasipneumoniae	ST367	SAMD00092895
DRR101002	Klebsiella pneumoniae	ST11	SAMD00092896
DRR101003	Klebsiella quasipneumoniae	ST526	SAMD00092897
DRR101004	Klebsiella quasipneumoniae	ST1584	SAMD00092898
DRR101005	Klebsiella quasipneumoniae	ST1822	SAMD00092899
DRR101006	Klebsiella pneumoniae	ST844	SAMD00092900
DRR101007	Klebsiella variicola	ST1928	SAMD00092901
DRR101008	Klebsiella pneumoniae	ST1916	SAMD00092902
DRR101009	Klebsiella quasipneumoniae	ST2789	SAMD00092903
DRR101010	Klebsiella variicola	ST2790	SAMD00092904
DRR101011	Klebsiella pneumoniae	ST2791	SAMD00092905
DRR111568	Klebsiella pneumoniae	ST340	SAMD00099755
DRR111571	Klebsiella pneumoniae	ST147	SAMD00099758
DRR111575	Klebsiella pneumoniae	ST147	SAMD00099762
DRR111578	Klebsiella pneumoniae	ST147	SAMD00099765
DRR111579	Klebsiella pneumoniae	ST147	SAMD00099766
DRR111584	Klebsiella pneumoniae	ST258	SAMD00099771
DRR111585	Klebsiella quasipneumoniae	ST3590	SAMD00099772
DRR111601	Klebsiella pneumoniae	ST101	SAMD00099788
DRR111602	Klebsiella pneumoniae	ST101	SAMD00099789
DRR111604	Klebsiella pneumoniae	ST147	SAMD00099791
DRR111605	Klebsiella pneumoniae	ST101	SAMD00099792
DRR111606	Klebsiella pneumoniae	ST147	SAMD00099793
DRR111610	Klebsiella pneumoniae	ST101	SAMD00099797
DRR120610	Klebsiella pneumoniae		SAMD00108700
DRR120614	Klebsiella pneumoniae		SAMD00108704
DRR120619	Klebsiella quasipneumoniae	ST1998	SAMD00108709
DRR120561	Klebsiella pneumoniae		SAMD00108711
DRR120563	Klebsiella pneumoniae		SAMD00108713
DRR120564	Klebsiella pneumoniae		SAMD00108714
DRR120566	Klebsiella pneumoniae		SAMD00108716
DRR120567	Klebsiella pneumoniae		SAMD00108717
DRR120570	Klebsiella pneumoniae	ST490-2LV	SAMD00108720
DRR120571	Klebsiella pneumoniae	ST37	SAMD00108721
DRR120572	Klebsiella pneumoniae	ST37	SAMD00108722
DRR120573	Klebsiella pneumoniae	ST37	SAMD00108723
DRR120574	Klebsiella pneumoniae	ST37	SAMD00108724
DRR120577	Klebsiella pneumoniae	ST584	SAMD00108727
DRR120580	Klebsiella pneumoniae	ST528	SAMD00108730
DRR120581	Klebsiella pneumoniae	ST65	SAMD00108731
DRR120586	Klebsiella pneumoniae	ST37	SAMD00108736
DRR120587	Klebsiella pneumoniae	ST37	SAMD00108737
DRR120588	Klebsiella pneumoniae	ST915-1LV	SAMD00108738
DRR120589	Klebsiella pneumoniae	ST37	SAMD00108739
DRR120590	Klebsiella pneumoniae	ST466	SAMD00108740
DRR164893	Klebsiella pneumoniae	ST17	SAMD00108741
DRR120591	Klebsiella pneumoniae	ST45	SAMD00108742
DRR164894	Klebsiella pneumoniae	ST45	SAMD00108744
DRR120593	Klebsiella pneumoniae	ST15	SAMD00108745
DRR120596	Klebsiella pneumoniae	ST107	SAMD00108748
DRR120598	Klebsiella pneumoniae	ST12	SAMD00108750
DRR120599	Klebsiella pneumoniae	ST37	SAMD00108751
DRR120601	Klebsiella pneumoniae	ST37	SAMD00108753
DRR120606	Klebsiella pneumoniae	ST37	SAMD00108758
DRR122444	Klebsiella pneumoniae	ST147	SAMD00108759
DRR122445	Klebsiella pneumoniae	ST340	SAMD00108760
DRR122446	Klebsiella pneumoniae	ST147	SAMD00108761
DRR122447	Klebsiella pneumoniae	ST147	SAMD00108762
DRR122448	Klebsiella pneumoniae	ST340	SAMD00108763
DRR122449	Klebsiella pneumoniae	ST340	SAMD00108764
DRR122450	Klebsiella pneumoniae	ST336	SAMD00108765
DRR122451	Klebsiella pneumoniae	ST340	SAMD00108766
DRR197033	Klebsiella pneumoniae	ST336	SAMD00108767
DRR122452	Klebsiella pneumoniae	ST340	SAMD00108768
DRR122453	Klebsiella pneumoniae	ST340	SAMD00108769
DRR122454	Klebsiella pneumoniae	ST340	SAMD00108770
DRR122455	Klebsiella pneumoniae	ST15	SAMD00108771
DRR122456	Klebsiella pneumoniae	ST340	SAMD00108772
DRR122459	Klebsiella pneumoniae	ST147	SAMD00108775
DRR122461	Klebsiella pneumoniae	ST147	SAMD00108777
DRR122462	Klebsiella pneumoniae	ST340	SAMD00108778
DRR122463	Klebsiella pneumoniae	ST336	SAMD00108779
DRR122465	Klebsiella pneumoniae	ST340	SAMD00108781
DRR122467	Klebsiella pneumoniae	ST340	SAMD00108783
DRR122468	Klebsiella pneumoniae	ST147	SAMD00108784
DRR122469	Klebsiella pneumoniae	ST147	SAMD00108785
DRR122470	Klebsiella pneumoniae	ST340	SAMD00108786
DRR122472	Klebsiella pneumoniae	ST340	SAMD00108788
DRR122473	Klebsiella pneumoniae	ST334	SAMD00108789
DRR122474	Klebsiella pneumoniae	ST340	SAMD00108790
DRR122475	Klebsiella pneumoniae	ST340	SAMD00108791
DRR122476	Klebsiella pneumoniae	ST147	SAMD00108792
DRR197034	Klebsiella pneumoniae	ST340	SAMD00108793
DRR122480	Klebsiella pneumoniae	ST336	SAMD00108797
DRR122482	Klebsiella pneumoniae	ST231	SAMD00108799
DRR122483	Klebsiella pneumoniae	ST273	SAMD00108800
DRR122484	Klebsiella pneumoniae	ST231	SAMD00108801
DRR122485	Klebsiella pneumoniae	ST231	SAMD00108802
DRR122489	Klebsiella pneumoniae	ST15	SAMD00108806
DRR122490	Klebsiella pneumoniae	ST120	SAMD00108807
DRR122491	Klebsiella pneumoniae	ST147	SAMD00108808
DRR122492	Klebsiella pneumoniae	ST48	SAMD00108809
DRR122493	Klebsiella pneumoniae	ST101	SAMD00108810
DRR122497	Klebsiella pneumoniae	ST1089	SAMD00108814
DRR122502	Klebsiella pneumoniae	ST147	SAMD00108819
DRR122503	Klebsiella pneumoniae	ST147	SAMD00108820
DRR122505	Klebsiella pneumoniae	ST147	SAMD00108822
DRR122506	Klebsiella pneumoniae	ST16	SAMD00108823
DRR122507	Klebsiella pneumoniae	ST147	SAMD00108824
DRR122508	Klebsiella pneumoniae	ST147	SAMD00108825
DRR122511	Klebsiella pneumoniae	ST231	SAMD00108828
DRR122513	Klebsiella pneumoniae	ST147	SAMD00108830
DRR122514	Klebsiella pneumoniae	ST340	SAMD00108831
DRR122515	Klebsiella pneumoniae	ST340	SAMD00108832
DRR122516	Klebsiella pneumoniae	ST147	SAMD00108833
DRR122517	Klebsiella pneumoniae	ST340	SAMD00108834
DRR122518	Klebsiella pneumoniae	ST334	SAMD00108835
DRR122519	Klebsiella pneumoniae	ST340	SAMD00108836
DRR197036	Klebsiella pneumoniae	ST340	SAMD00108838
DRR122522	Klebsiella pneumoniae	ST2673	SAMD00108840
DRR122524	Klebsiella pneumoniae	ST736	SAMD00108842
DRR122526	Klebsiella pneumoniae	ST11	SAMD00108844
DRR122528	Klebsiella pneumoniae	ST147	SAMD00108846
DRR122529	Klebsiella pneumoniae	ST1740	SAMD00108847
DRR122532	Klebsiella pneumoniae	ST147	SAMD00108850
DRR122534	Klebsiella pneumoniae	ST1922-3LV	SAMD00108852
DRR122535	Klebsiella pneumoniae	ST147	SAMD00108853
DRR122536	Klebsiella pneumoniae	ST1859	SAMD00108854
DRR122537	Klebsiella pneumoniae	ST147	SAMD00108855
DRR122538	Klebsiella pneumoniae	ST340	SAMD00108857
DRR122539	Klebsiella pneumoniae	ST340	SAMD00108858
DRR122540	Klebsiella pneumoniae	ST340	SAMD00108859
DRR122541	Klebsiella pneumoniae	ST340	SAMD00108860
DRR122542	Klebsiella pneumoniae	ST147	SAMD00108861
DRR122544	Klebsiella pneumoniae	ST340	SAMD00108863
DRR122545	Klebsiella pneumoniae	ST340	SAMD00108864
DRR122546	Klebsiella pneumoniae	ST340	SAMD00108865
DRR122547	Klebsiella pneumoniae	ST147	SAMD00108866
DRR122548	Klebsiella pneumoniae	ST147	SAMD00108867
DRR122549	Klebsiella pneumoniae	ST147	SAMD00108868
DRR122551	Klebsiella pneumoniae	ST16	SAMD00108870
DRR122552	Klebsiella pneumoniae	ST1859	SAMD00108871
DRR122553	Klebsiella pneumoniae	ST540	SAMD00108872
DRR122555	Klebsiella pneumoniae	ST147	SAMD00108874
DRR122556	Klebsiella pneumoniae	ST147	SAMD00108875
DRR122558	Klebsiella pneumoniae	ST656	SAMD00108877
DRR197038	Klebsiella pneumoniae	ST2673	SAMD00108878
DRR122559	Klebsiella pneumoniae	ST11	SAMD00108879
DRR122560	Klebsiella pneumoniae	ST39	SAMD00108880
DRR122561	Klebsiella pneumoniae	ST16-1LV	SAMD00108881
DRR122562	Klebsiella pneumoniae	ST17	SAMD00108882
DRR122564	Klebsiella pneumoniae	ST101	SAMD00108884
DRR122566	Klebsiella pneumoniae	ST231	SAMD00108886
DRR122567	Klebsiella pneumoniae	ST11	SAMD00108887
DRR122568	Klebsiella pneumoniae	ST11	SAMD00108888
DRR122570	Klebsiella pneumoniae	ST534	SAMD00108890
DRR121780	Klebsiella pneumoniae	ST231	SAMD00110856
DRR121791	Klebsiella pneumoniae	ST11	SAMD00110859
DRR121794	Klebsiella pneumoniae	ST16	SAMD00110860
DRR121796	Klebsiella pneumoniae	ST231	SAMD00110862
DRR121797	Klebsiella pneumoniae	ST340	SAMD00110863
DRR121798	Klebsiella pneumoniae	ST231	SAMD00110864
DRR121799	Klebsiella pneumoniae	ST231	SAMD00110865
DRR121806	Klebsiella pneumoniae	ST65	SAMD00110866
DRR121811	Klebsiella pneumoniae	ST340	SAMD00110867
DRR121812	Klebsiella pneumoniae	ST14	SAMD00110868
DRR121813	Klebsiella pneumoniae	ST231	SAMD00110869
DRR121814	Klebsiella pneumoniae	ST11	SAMD00110870
DRR121815	Klebsiella pneumoniae	ST231	SAMD00110871
DRR121816	Klebsiella pneumoniae	ST101	SAMD00110872
DRR121817	Klebsiella pneumoniae	ST11	SAMD00110873
DRR121818	Klebsiella pneumoniae	ST16	SAMD00110874
DRR121819	Klebsiella pneumoniae	ST336	SAMD00110875
DRR121820	Klebsiella pneumoniae	ST231	SAMD00110876
DRR121821	Klebsiella pneumoniae	ST14	SAMD00110877
DRR121822	Klebsiella pneumoniae	ST340	SAMD00110878
DRR121823	Klebsiella pneumoniae	ST14	SAMD00110879
DRR121824	Klebsiella pneumoniae	ST14	SAMD00110880
DRR121825	Klebsiella pneumoniae	ST14	SAMD00110881
DRR121826	Klebsiella pneumoniae	ST14	SAMD00110882
DRR121827	Klebsiella pneumoniae	ST16	SAMD00110883
DRR121828	Klebsiella pneumoniae	ST231	SAMD00110884
DRR121829	Klebsiella pneumoniae	ST14	SAMD00110885
DRR121830	Klebsiella pneumoniae	ST147	SAMD00110886
DRR121831	Klebsiella pneumoniae	ST231	SAMD00110887
DRR121832	Klebsiella pneumoniae	ST14	SAMD00110888
DRR121833	Klebsiella pneumoniae	ST231	SAMD00110889
DRR121834	Klebsiella pneumoniae	ST14	SAMD00110890
DRR121835	Klebsiella pneumoniae	ST17	SAMD00110891
DRR121836	Klebsiella pneumoniae	ST231	SAMD00110892
DRR121837	Klebsiella pneumoniae	ST231	SAMD00110893
DRR121838	Klebsiella pneumoniae	ST11	SAMD00110894
DRR121839	Klebsiella pneumoniae	ST147	SAMD00110895
DRR121840	Klebsiella pneumoniae	ST16	SAMD00110896
DRR121841	Klebsiella pneumoniae	ST11	SAMD00110897
DRR121842	Klebsiella pneumoniae	ST231	SAMD00110898
DRR121843	Klebsiella pneumoniae	ST231	SAMD00110899
DRR121844	Klebsiella pneumoniae	ST231	SAMD00110900
DRR121845	Klebsiella pneumoniae	ST11	SAMD00110901
DRR121846	Klebsiella pneumoniae	ST231	SAMD00110902
DRR121847	Klebsiella pneumoniae	ST147	SAMD00110903
DRR121848	Klebsiella pneumoniae	ST16	SAMD00110904
DRR121849	Klebsiella pneumoniae	ST16	SAMD00110905
DRR121850	Klebsiella pneumoniae	ST231	SAMD00110906
DRR121851	Klebsiella pneumoniae	ST307	SAMD00110907
DRR122210	Klebsiella pneumoniae	ST231	SAMD00111748
DRR122212	Klebsiella pneumoniae	ST231	SAMD00111749
DRR122214	Klebsiella pneumoniae	ST231	SAMD00111750
DRR122216	Klebsiella pneumoniae	ST340	SAMD00111751
DRR122218	Klebsiella pneumoniae	ST340	SAMD00111752
DRR122219	Klebsiella pneumoniae	ST340	SAMD00111753
DRR122220	Klebsiella pneumoniae	ST340	SAMD00111754
DRR122221	Klebsiella pneumoniae	ST16	SAMD00111755
DRR122222	Klebsiella pneumoniae	ST16	SAMD00111756
DRR122223	Klebsiella pneumoniae	ST16	SAMD00111757
DRR122224	Klebsiella pneumoniae	ST16	SAMD00111758
DRR122225	Klebsiella pneumoniae	ST16	SAMD00111759
DRR122226	Klebsiella pneumoniae	ST231	SAMD00111760
DRR122227	Klebsiella pneumoniae	ST16	SAMD00111761
DRR122228	Klebsiella pneumoniae	ST16	SAMD00111762
DRR122229	Klebsiella pneumoniae	ST16	SAMD00111763
DRR122230	Klebsiella pneumoniae	ST16	SAMD00111764
DRR122231	Klebsiella pneumoniae	ST16	SAMD00111765
DRR122232	Klebsiella pneumoniae	ST16	SAMD00111766
DRR122233	Klebsiella pneumoniae	ST14	SAMD00111767
DRR122234	Klebsiella pneumoniae	ST16	SAMD00111768
DRR122235	Klebsiella pneumoniae	ST16	SAMD00111769
DRR122236	Klebsiella pneumoniae	ST16	SAMD00111770
DRR122237	Klebsiella pneumoniae	ST16	SAMD00111771
DRR122238	Klebsiella pneumoniae	ST147	SAMD00111772
DRR122239	Klebsiella pneumoniae	ST16	SAMD00111773
DRR122240	Klebsiella pneumoniae	ST231	SAMD00111774
DRR122241	Klebsiella pneumoniae	ST16	SAMD00111775
DRR122242	Klebsiella pneumoniae	ST16	SAMD00111776
DRR122243	Klebsiella pneumoniae	ST2325	SAMD00111777
DRR122244	Klebsiella pneumoniae	ST231	SAMD00111778
DRR122245	Klebsiella pneumoniae	ST1224	SAMD00111779
DRR122246	Klebsiella pneumoniae	ST16	SAMD00111780
DRR122247	Klebsiella pneumoniae	ST16	SAMD00111781
DRR122248	Klebsiella pneumoniae	ST16	SAMD00111782
DRR122249	Klebsiella pneumoniae	ST16	SAMD00111783
DRR122250	Klebsiella pneumoniae	ST231	SAMD00111784
DRR122251	Klebsiella pneumoniae	ST16	SAMD00111785
DRR122252	Klebsiella pneumoniae	ST16	SAMD00111786
DRR122253	Klebsiella pneumoniae	ST16	SAMD00111787
DRR122254	Klebsiella pneumoniae	ST16	SAMD00111788
DRR122255	Klebsiella pneumoniae	ST147	SAMD00111789
DRR122256	Klebsiella pneumoniae	ST16	SAMD00111790
DRR122257	Klebsiella pneumoniae	ST16	SAMD00111791
DRR122258	Klebsiella pneumoniae	ST16	SAMD00111792
DRR122259	Klebsiella pneumoniae	ST14	SAMD00111793
DRR122260	Klebsiella pneumoniae	ST16	SAMD00111794
DRR122261	Klebsiella pneumoniae	ST16	SAMD00111795
DRR122262	Klebsiella pneumoniae	ST147	SAMD00111796
DRR122263	Klebsiella pneumoniae	ST16	SAMD00111797
DRR122264	Klebsiella pneumoniae	ST16	SAMD00111798
DRR122265	Klebsiella pneumoniae	ST16	SAMD00111799
DRR122266	Klebsiella pneumoniae	ST16	SAMD00111800
DRR122267	Klebsiella pneumoniae	ST16	SAMD00111801
DRR122268	Klebsiella pneumoniae	ST147	SAMD00111802
DRR122269	Klebsiella pneumoniae	ST16	SAMD00111803
DRR122270	Klebsiella pneumoniae	ST231	SAMD00111804
DRR122271	Klebsiella pneumoniae	ST16	SAMD00111805
DRR122272	Klebsiella pneumoniae	ST147	SAMD00111806
DRR122273	Klebsiella pneumoniae	ST16	SAMD00111807
DRR122274	Klebsiella pneumoniae	ST231	SAMD00111808
DRR122275	Klebsiella pneumoniae	ST16	SAMD00111809
DRR122276	Klebsiella pneumoniae	ST16	SAMD00111810
DRR122277	Klebsiella pneumoniae	ST16	SAMD00111811
DRR122278	Klebsiella pneumoniae	ST16	SAMD00111812
DRR122279	Klebsiella pneumoniae	ST16	SAMD00111813
DRR122280	Klebsiella pneumoniae	ST16	SAMD00111814
DRR122281	Klebsiella pneumoniae	ST16	SAMD00111815
DRR122282	Klebsiella pneumoniae	ST16	SAMD00111816
DRR122283	Klebsiella pneumoniae	ST16	SAMD00111817
DRR122284	Klebsiella pneumoniae	ST16	SAMD00111818
DRR122285	Klebsiella pneumoniae	ST16	SAMD00111819
DRR122286	Klebsiella pneumoniae	ST16	SAMD00111820
DRR122287	Klebsiella pneumoniae	ST16	SAMD00111821
DRR122288	Klebsiella pneumoniae	ST16	SAMD00111822
DRR122289	Klebsiella pneumoniae	ST11	SAMD00111823
DRR122290	Klebsiella pneumoniae	ST16	SAMD00111824
DRR122291	Klebsiella pneumoniae	ST16	SAMD00111825
DRR122292	Klebsiella pneumoniae	ST16	SAMD00111826
DRR122293	Klebsiella pneumoniae	ST16	SAMD00111827
DRR122294	Klebsiella pneumoniae	ST16	SAMD00111828
DRR122295	Klebsiella pneumoniae	ST16	SAMD00111829
DRR122296	Klebsiella pneumoniae	ST16	SAMD00111830
DRR122297	Klebsiella pneumoniae	ST16	SAMD00111831
DRR122298	Klebsiella pneumoniae	ST231	SAMD00111832
DRR124904	Klebsiella pneumoniae	ST629	SAMD00112423
DRR124905	Klebsiella pneumoniae	ST629	SAMD00112424
DRR124906	Klebsiella pneumoniae	ST1	SAMD00112425
DRR124907	Klebsiella pneumoniae	ST15	SAMD00112426
DRR124908	Klebsiella pneumoniae	0	SAMD00112427
DRR124909	Klebsiella pneumoniae		SAMD00112428
DRR124910	Klebsiella pneumoniae	ST629	SAMD00112429
DRR124911	Klebsiella pneumoniae	ST15	SAMD00112430
DRR124912	Klebsiella pneumoniae	ST101	SAMD00112431
DRR124913	Klebsiella pneumoniae		SAMD00112432
DRR124914	Klebsiella pneumoniae	ST231	SAMD00112433
DRR124915	Klebsiella pneumoniae	ST629	SAMD00112434
DRR124916	Klebsiella pneumoniae	ST11	SAMD00112435
DRR124917	Klebsiella pneumoniae	ST231	SAMD00112436
DRR124918	Klebsiella pneumoniae	ST15	SAMD00112437
DRR124919	Klebsiella pneumoniae	ST231	SAMD00112438
DRR124920	Klebsiella pneumoniae		SAMD00112439
DRR124921	Klebsiella pneumoniae	ST11	SAMD00112440
DRR124922	Klebsiella pneumoniae	ST23	SAMD00112441
DRR124923	Klebsiella pneumoniae	ST15	SAMD00112442
DRR124924	Klebsiella pneumoniae	ST437	SAMD00112443
DRR124925	Klebsiella pneumoniae	ST11	SAMD00112444
DRR124926	Klebsiella pneumoniae	ST11-1LV	SAMD00112445
DRR124927	Klebsiella pneumoniae	ST11	SAMD00112446
DRR124928	Klebsiella pneumoniae	ST1224	SAMD00112447
DRR124929	Klebsiella pneumoniae	ST392	SAMD00112448
DRR124930	Klebsiella pneumoniae	ST629	SAMD00112449
DRR124931	Klebsiella pneumoniae	ST629-1LV	SAMD00112450
DRR124932	Klebsiella pneumoniae	ST11	SAMD00112451
DRR124933	Klebsiella pneumoniae	ST11-1LV	SAMD00112452
DRR124934	Klebsiella pneumoniae	ST629	SAMD00112453
DRR124935	Klebsiella pneumoniae	ST11	SAMD00112454
DRR124936	Klebsiella pneumoniae	ST15	SAMD00112455
DRR124937	Klebsiella pneumoniae	ST11	SAMD00112456
DRR124938	Klebsiella pneumoniae	ST15	SAMD00112457
DRR124939	Klebsiella pneumoniae	ST231	SAMD00112458
DRR124940	Klebsiella pneumoniae	ST15	SAMD00112459
DRR124941	Klebsiella pneumoniae	ST11-1LV	SAMD00112460
DRR124942	Klebsiella pneumoniae	ST395	SAMD00112461
DRR124943	Klebsiella pneumoniae	ST11	SAMD00112462
DRR124944	Klebsiella pneumoniae	ST1-2LV	SAMD00112463
DRR124945	Klebsiella pneumoniae	ST11	SAMD00112464
DRR124946	Klebsiella pneumoniae	ST11	SAMD00112465
DRR124947	Klebsiella pneumoniae	ST11	SAMD00112466
DRR124948	Klebsiella pneumoniae	ST629	SAMD00112467
DRR124949	Klebsiella pneumoniae	ST629	SAMD00112468
DRR124950	Klebsiella pneumoniae	ST231	SAMD00112469
DRR124951	Klebsiella pneumoniae	ST629	SAMD00112470
DRR124952	Klebsiella pneumoniae	ST15	SAMD00112471
DRR124953	Klebsiella pneumoniae	ST147	SAMD00112472
DRR124954	Klebsiella pneumoniae	ST231	SAMD00112473
DRR124955	Klebsiella pneumoniae	ST1	SAMD00112474
DRR124956	Klebsiella pneumoniae		SAMD00112475
DRR124957	Klebsiella pneumoniae	ST11	SAMD00112476
DRR124958	Klebsiella pneumoniae	ST629-1LV	SAMD00112477
DRR124959	Klebsiella pneumoniae	ST11	SAMD00112478
DRR124960	Klebsiella pneumoniae	ST395-2LV	SAMD00112479
DRR124961	Klebsiella pneumoniae	ST231	SAMD00112480
DRR124962	Klebsiella pneumoniae	ST378	SAMD00112481
DRR124963	Klebsiella pneumoniae	ST231	SAMD00112482
DRR124964	Klebsiella pneumoniae	ST629	SAMD00112483
DRR124965	Klebsiella pneumoniae	ST11	SAMD00112484
DRR124966	Klebsiella pneumoniae	ST629-2LV	SAMD00112485
DRR124967	Klebsiella pneumoniae		SAMD00112486
DRR124968	Klebsiella pneumoniae	ST231	SAMD00112487
DRR124969	Klebsiella pneumoniae	ST231-1LV	SAMD00112488
DRR124970	Klebsiella pneumoniae	ST629	SAMD00112489
DRR124971	Klebsiella pneumoniae	ST15	SAMD00112490
DRR124972	Klebsiella pneumoniae	ST11-1LV	SAMD00112491
DRR124973	Klebsiella pneumoniae	ST15-1LV	SAMD00112492
DRR124974	Klebsiella pneumoniae	ST629	SAMD00112493
DRR124975	Klebsiella pneumoniae	ST656	SAMD00112494
DRR124976	Klebsiella pneumoniae	ST147	SAMD00112495
DRR124977	Klebsiella pneumoniae	ST15	SAMD00112496
DRR124978	Klebsiella pneumoniae	ST15	SAMD00112497
DRR124979	Klebsiella pneumoniae	ST17	SAMD00112498
DRR124980	Klebsiella pneumoniae	ST147	SAMD00112499
DRR124981	Klebsiella pneumoniae	ST15	SAMD00112500
DRR124982	Klebsiella pneumoniae	ST307	SAMD00112501
DRR124985	Klebsiella pneumoniae	ST3106	SAMD00112504
DRR124987	Klebsiella pneumoniae	ST307	SAMD00112506
DRR124988	Klebsiella pneumoniae	ST15	SAMD00112507
DRR124989	Klebsiella pneumoniae	ST656	SAMD00112508
DRR124991	Klebsiella pneumoniae	ST16	SAMD00112510
DRR124992	Klebsiella pneumoniae	ST147	SAMD00112511
DRR124993	Klebsiella pneumoniae	ST656	SAMD00112512
DRR124994	Klebsiella pneumoniae	ST15	SAMD00112513
DRR124997	Klebsiella pneumoniae	ST656	SAMD00112516
DRR124998	Klebsiella pneumoniae	ST11	SAMD00112517
DRR124999	Klebsiella pneumoniae	ST231	SAMD00112518
DRR125001	Klebsiella pneumoniae	ST147	SAMD00112520
DRR125002	Klebsiella pneumoniae	ST15	SAMD00112521
DRR125004	Klebsiella pneumoniae	ST231	SAMD00112523
DRR125005	Klebsiella pneumoniae	ST16	SAMD00112524
DRR125006	Klebsiella pneumoniae	ST1601	SAMD00112525
DRR125007	Klebsiella pneumoniae	ST15	SAMD00112526
DRR125008	Klebsiella pneumoniae	ST15	SAMD00112527
DRR125009	Klebsiella pneumoniae	ST15	SAMD00112528
DRR125010	Klebsiella pneumoniae	ST147	SAMD00112529
DRR125011	Klebsiella pneumoniae	ST2981-1LV	SAMD00112530
DRR125014	Klebsiella pneumoniae	ST656	SAMD00112533
