sample_id	Species	ST	sample_accession
ERR1796040	Klebsiella pneumoniae	ST54	SAMEA4362697
ERR1796041	Klebsiella pneumoniae	ST54	SAMEA4362698
ERR1796042	Klebsiella pneumoniae	ST1189	SAMEA4362699
ERR1796043	Klebsiella pneumoniae	ST268	SAMEA4362700
ERR1796044	Klebsiella pneumoniae	ST12	SAMEA4362701
ERR1796045	Klebsiella pneumoniae	ST3022	SAMEA4362702
ERR1796046	Klebsiella pneumoniae	ST1999	SAMEA4362703
ERR1796047	Klebsiella pneumoniae	ST54	SAMEA4362704
ERR1796048	Klebsiella pneumoniae	ST54	SAMEA4362705
ERR1796049	Klebsiella pneumoniae	ST54	SAMEA4362706
ERR1796050	Klebsiella pneumoniae	ST54	SAMEA4362707
ERR1796051	Klebsiella pneumoniae	ST1189	SAMEA4362708
ERR1796053	Klebsiella pneumoniae	ST1999	SAMEA4362710
ERR1796054	Klebsiella pneumoniae	ST1999	SAMEA4362711
ERR1796055	Klebsiella variicola	ST3016	SAMEA4362712
ERR1796056	Klebsiella variicola	ST3016	SAMEA4362713
ERR1796057	Klebsiella variicola	ST3016	SAMEA4362714
ERR1796058	Klebsiella pneumoniae	ST6	SAMEA4362715
ERR1796059	Klebsiella pneumoniae	ST268	SAMEA4362716
ERR1796060	Klebsiella pneumoniae	ST268	SAMEA4362717
ERR1796061	Klebsiella pneumoniae	ST12	SAMEA4362718
ERR2397496	Klebsiella pneumoniae	ST268	SAMEA4364575
ERR2397497	Klebsiella pneumoniae	ST42	SAMEA4364576
ERR2397498	Klebsiella pneumoniae	ST14	SAMEA4364577
ERR2397499	Klebsiella pneumoniae	ST147	SAMEA4364578
ERR2397500	Klebsiella pneumoniae	ST23	SAMEA4364579
ERR2397501	Klebsiella pneumoniae	ST2557	SAMEA4364580
ERR2397502	Klebsiella pneumoniae	ST23	SAMEA4364581
ERR2397503	Klebsiella pneumoniae	ST469	SAMEA4364582
ERR2397504	Klebsiella pneumoniae	ST35	SAMEA4364583
ERR2397505	Klebsiella pneumoniae	ST65	SAMEA4364584
ERR2397506	Klebsiella pneumoniae	ST16	SAMEA4364585
ERR2397507	Klebsiella pneumoniae	ST15	SAMEA4364586
ERR2397508	Klebsiella pneumoniae	ST86	SAMEA4364587
ERR2397509	Klebsiella pneumoniae	ST15	SAMEA4364588
ERR2397510	Klebsiella pneumoniae	ST25	SAMEA4364589
ERR2397511	Klebsiella pneumoniae	ST35	SAMEA4364590
ERR2397512	Klebsiella pneumoniae	ST133	SAMEA4364591
ERR2397513	Klebsiella pneumoniae	ST336	SAMEA4364592
ERR2397514	Klebsiella pneumoniae	ST37	SAMEA4364593
ERR2397515	Klebsiella pneumoniae	ST277	SAMEA4364594
ERR2397516	Klebsiella pneumoniae	ST60	SAMEA4364595
ERR2397517	Klebsiella pneumoniae	ST14	SAMEA4364596
ERR2397518	Klebsiella pneumoniae	ST1076	SAMEA4364597
ERR2397519	Klebsiella pneumoniae	ST16	SAMEA4364598
ERR2397520	Klebsiella pneumoniae	ST147	SAMEA4364599
ERR2397521	Klebsiella pneumoniae	ST35	SAMEA4364600
ERR2397522	Klebsiella pneumoniae	ST23	SAMEA4364601
ERR2397523	Klebsiella pneumoniae	ST3588	SAMEA4364602
ERR2397524	Klebsiella pneumoniae	ST23	SAMEA4364603
ERR2397527	Klebsiella pneumoniae	ST23	SAMEA4364606
ERR2397528	Klebsiella pneumoniae	ST15	SAMEA4364607
ERR2397529	Klebsiella pneumoniae	ST29	SAMEA4364608
ERR2397530	Klebsiella pneumoniae	ST37	SAMEA4364609
ERR2397531	Klebsiella pneumoniae	ST11	SAMEA4364610
ERR2397532	Klebsiella pneumoniae	ST1779	SAMEA4364611
ERR2397533	Klebsiella pneumoniae	ST147	SAMEA4364612
ERR2397534	Klebsiella pneumoniae	ST15	SAMEA4364613
ERR2397535	Klebsiella pneumoniae	ST268	SAMEA4364614
ERR2397536	Klebsiella pneumoniae	ST110	SAMEA4364615
ERR2397537	Klebsiella pneumoniae	ST874	SAMEA4364616
ERR2397538	Klebsiella pneumoniae	ST16	SAMEA4364617
ERR2397539	Klebsiella pneumoniae	ST14	SAMEA4364618
ERR2397540	Klebsiella pneumoniae	ST29	SAMEA4364619
ERR2397541	Klebsiella pneumoniae	ST1545	SAMEA4364620
ERR2397542	Klebsiella pneumoniae	ST147	SAMEA4364621
ERR2397543	Klebsiella pneumoniae	ST147	SAMEA4364622
ERR2397544	Klebsiella pneumoniae	ST45	SAMEA4364623
ERR2397545	Klebsiella pneumoniae	ST252	SAMEA4364624
ERR2397546	Klebsiella pneumoniae	ST86	SAMEA4364625
ERR2397547	Klebsiella pneumoniae	ST20	SAMEA4364626
ERR2397548	Klebsiella pneumoniae	ST16	SAMEA4364627
ERR2397549	Klebsiella pneumoniae	ST231	SAMEA4364628
ERR2397550	Klebsiella pneumoniae	ST111	SAMEA4364629
ERR2397551	Klebsiella pneumoniae	ST3589	SAMEA4364630
ERR2397552	Klebsiella pneumoniae	ST16	SAMEA4364631
