accession	layout	r1_url	r2_url	biosample	read_count	stratum
DRR386075	PAIRED	https://ftp.sra.ebi.ac.uk/vol1/fastq/DRR386/DRR386075/DRR386075_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/DRR386/DRR386075/DRR386075_2.fastq.gz	SAMD00497571	671539	u
DRR386087	PAIRED	https://ftp.sra.ebi.ac.uk/vol1/fastq/DRR386/DRR386087/DRR386087_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/DRR386/DRR386087/DRR386087_2.fastq.gz	SAMD00497583	2028832	u
DRR386109	PAIRED	https://ftp.sra.ebi.ac.uk/vol1/fastq/DRR386/DRR386109/DRR386109_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/DRR386/DRR386109/DRR386109_2.fastq.gz	SAMD00497605	1780999	u
DRR386117	PAIRED	https://ftp.sra.ebi.ac.uk/vol1/fastq/DRR386/DRR386117/DRR386117_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/DRR386/DRR386117/DRR386117_2.fastq.gz	SAMD00497613	1861160	u
DRR386134	PAIRED	https://ftp.sra.ebi.ac.uk/vol1/fastq/DRR386/DRR386134/DRR386134_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/DRR386/DRR386134/DRR386134_2.fastq.gz	SAMD00497630	1375712	u
DRR386142	PAIRED	https://ftp.sra.ebi.ac.uk/vol1/fastq/DRR386/DRR386142/DRR386142_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/DRR386/DRR386142/DRR386142_2.fastq.gz	SAMD00497638	1468314	u
DRR386165	PAIRED	https://ftp.sra.ebi.ac.uk/vol1/fastq/DRR386/DRR386165/DRR386165_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/DRR386/DRR386165/DRR386165_2.fastq.gz	SAMD00497661	1286007	u
DRR386167	PAIRED	https://ftp.sra.ebi.ac.uk/vol1/fastq/DRR386/DRR386167/DRR386167_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/DRR386/DRR386167/DRR386167_2.fastq.gz	SAMD00497663	945109	u
DRR386169	PAIRED	https://ftp.sra.ebi.ac.uk/vol1/fastq/DRR386/DRR386169/DRR386169_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/DRR386/DRR386169/DRR386169_2.fastq.gz	SAMD00497665	1103940	u
DRR386174	PAIRED	https://ftp.sra.ebi.ac.uk/vol1/fastq/DRR386/DRR386174/DRR386174_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/DRR386/DRR386174/DRR386174_2.fastq.gz	SAMD00497670	960710	u
DRR386183	PAIRED	https://ftp.sra.ebi.ac.uk/vol1/fastq/DRR386/DRR386183/DRR386183_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/DRR386/DRR386183/DRR386183_2.fastq.gz	SAMD00497679	817673	u
DRR386190	PAIRED	https://ftp.sra.ebi.ac.uk/vol1/fastq/DRR386/DRR386190/DRR386190_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/DRR386/DRR386190/DRR386190_2.fastq.gz	SAMD00497686	1060868	u
DRR386195	PAIRED	https://ftp.sra.ebi.ac.uk/vol1/fastq/DRR386/DRR386195/DRR386195_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/DRR386/DRR386195/DRR386195_2.fastq.gz	SAMD00497691	1407030	u
DRR386206	PAIRED	https://ftp.sra.ebi.ac.uk/vol1/fastq/DRR386/DRR386206/DRR386206_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/DRR386/DRR386206/DRR386206_2.fastq.gz	SAMD00497702	1160276	u
DRR386208	PAIRED	https://ftp.sra.ebi.ac.uk/vol1/fastq/DRR386/DRR386208/DRR386208_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/DRR386/DRR386208/DRR386208_2.fastq.gz	SAMD00497704	1463790	u
DRR386216	PAIRED	https://ftp.sra.ebi.ac.uk/vol1/fastq/DRR386/DRR386216/DRR386216_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/DRR386/DRR386216/DRR386216_2.fastq.gz	SAMD00497712	1405653	u
