accession	biosample	secondary_sample	read_count
SRR23106374	SAMN32778072	SRS16473529	424092
SRR23106375	SAMN32778071	SRS16473528	454992
SRR23106397	SAMN32778029	SRS16473506	884811
SRR25100038	SAMN35995983	SRS18130087	714210
SRR25100039	SAMN35995980	SRS18130088	735007
SRR25100040	SAMN35995988	SRS18130084	659485
SRR25100041	SAMN35995981	SRS18130085	622794
SRR25100042	SAMN35995982	SRS18130086	690037
SRR25100043	SAMN35995979	SRS18130081	1010997
SRR25100044	SAMN35995987	SRS18130080	1102021
SRR25100045	SAMN35995986	SRS18130082	1059713
SRR25100046	SAMN35995985	SRS18130083	1128496
SRR25100047	SAMN35995984	SRS18130076	1095062
SRR25519436	SAMN11953943	SRS7923815	996688
SRR26183117	SAMN37546086	SRS18982358	680952
SRR26956677	SAMN38450464	SRS19646721	735104
SRR2911724	SAMN04229826	SRS1155442	1202943
SRR2911725	SAMN04229822	SRS1155448	926769
SRR2911726	SAMN04229823	SRS1155449	1170132
SRR2911739	SAMN04229824	SRS1155447	1164943
SRR2911742	SAMN04229825	SRS1155446	1234488
SRR2916633	SAMN04254728	SRS1162479	664104
SRR2916634	SAMN04254729	SRS1162478	602298
SRR2916635	SAMN04254730	SRS1162482	417329
SRR2916636	SAMN04254731	SRS1162481	645423
SRR2916656	SAMN04254727	SRS1162805	2090247
SRR29202109	SAMN41558526	SRS21445057	1478205
SRR29202112	SAMN41558524	SRS21445054	1207011
SRR29202117	SAMN41558519	SRS21445049	1491597
SRR29202120	SAMN41558516	SRS21445045	1025408
SRR29202135	SAMN41558532	SRS21445031	1751046
SRR29202140	SAMN41558513	SRS21445028	1052113
SRR29202142	SAMN41558511	SRS21445024	513320
SRR29202144	SAMN41558509	SRS21445022	799755
SRR29202145	SAMN41558508	SRS21445021	730942
SRR29202146	SAMN41558507	SRS21445020	934637
SRR29202150	SAMN41558504	SRS21445016	1033462
SRR29202153	SAMN41558501	SRS21445013	1032121
SRR29202157	SAMN41558484	SRS21445011	1195064
SRR29202158	SAMN41558555	SRS21445008	603163
SRR29202159	SAMN41558554	SRS21445007	800585
SRR29202160	SAMN41558553	SRS21445006	702249
SRR29202161	SAMN41558552	SRS21445005	761821
SRR29202162	SAMN41558551	SRS21445004	1629085
SRR29202164	SAMN41558549	SRS21445002	913260
SRR29202165	SAMN41558548	SRS21445001	1672259
SRR29202166	SAMN41558547	SRS21445000	1469620
SRR29202169	SAMN41558545	SRS21444996	592766
SRR29202172	SAMN41558498	SRS21444994	1686014
SRR29202177	SAMN41558494	SRS21444989	1464926
SRR29202178	SAMN41558493	SRS21444988	927870
SRR29202179	SAMN41558492	SRS21444987	1424244
SRR29202182	SAMN41558489	SRS21444984	1507479
SRR2954965	SAMN04252827	SRS1175348	908383
SRR29765747	SAMN42396291	SRS21951328	1008807
SRR29765757	SAMN42396282	SRS21951320	1329116
SRR29765760	SAMN42396279	SRS21951315	1590120
SRR2976831	SAMN04022941	SRS1051655	242987
SRR3057118	SAMN04339712	SRS1224051	1156196
SRR3112200	SAMN04432977	SRS1256780	6835726
SRR3112201	SAMN04432978	SRS1256781	6283265
SRR3112205	SAMN04432982	SRS1256790	6740277
SRR3112206	SAMN04432983	SRS1256794	6795712
SRR3112302	SAMN04014874	SRS1256888	3863047
SRR3112304	SAMN04014876	SRS1256886	2298875
SRR3112305	SAMN04014877	SRS1256885	3729485
SRR3112306	SAMN04014878	SRS1256887	4600639
SRR3112313	SAMN04014886	SRS1256905	2886725
SRR3130307	SAMN04445872	SRS1267048	885241
SRR3130308	SAMN04445873	SRS1267049	841278
SRR3130309	SAMN04445874	SRS1267047	966750
SRR3130310	SAMN04445875	SRS1267046	1065169
SRR3130311	SAMN04445876	SRS1267045	854781
SRR3131127	SAMN04446435	SRS1267420	1663207
SRR3131130	SAMN04446436	SRS1267424	1518356
SRR3131131	SAMN04446437	SRS1267423	1834524
SRR3131132	SAMN04446438	SRS1267422	1447932
SRR3131145	SAMN04446439	SRS1267440	1339727
SRR3131146	SAMN04446440	SRS1267439	1425418
SRR3131147	SAMN04446441	SRS1267438	1483245
SRR3131148	SAMN04446442	SRS1267437	1409225
SRR3131149	SAMN04446443	SRS1267612	1428356
SRR3131150	SAMN04446444	SRS1267611	1487855
SRR3131151	SAMN04446445	SRS1267609	1370983
SRR3131152	SAMN04446446	SRS1267610	1368534
SRR3131153	SAMN04446447	SRS1267448	1420603
SRR3131154	SAMN04446448	SRS1267447	1528683
SRR3131155	SAMN04446449	SRS1267446	1455058
SRR3131156	SAMN04446450	SRS1267445	1396635
SRR3131157	SAMN04446451	SRS1267442	1072309
SRR3131158	SAMN04446452	SRS1267441	609666
SRR3131159	SAMN04446453	SRS1267461	873372
SRR3131162	SAMN04446456	SRS1267458	1197763
SRR3131163	SAMN04446457	SRS1267457	1141511
SRR3131164	SAMN04446458	SRS1267456	1056604
SRR3131165	SAMN04446459	SRS1267455	933096
SRR3131166	SAMN04446460	SRS1267454	1072528
SRR3131167	SAMN04446461	SRS1267453	1055091
SRR3131168	SAMN04446462	SRS1267452	1186701
SRR3131169	SAMN04446463	SRS1267451	1160668
SRR3131170	SAMN04446464	SRS1267450	1103367
SRR3131171	SAMN04446465	SRS1267449	892262
SRR3131172	SAMN04446466	SRS1267465	1034661
SRR3131173	SAMN04446467	SRS1267466	1019511
SRR3131206	SAMN04446468	SRS1267507	1079728
SRR3131207	SAMN04446469	SRS1267506	970283
SRR3131208	SAMN04446470	SRS1267505	1068674
SRR3131209	SAMN04446471	SRS1267504	1220084
SRR3131210	SAMN04446472	SRS1267503	1007867
SRR3131211	SAMN04446473	SRS1267501	1255989
SRR3131212	SAMN04446474	SRS1267500	1161550
SRR3131213	SAMN04446475	SRS1267499	1196796
SRR3131214	SAMN04446476	SRS1267498	1196896
SRR3131215	SAMN04446477	SRS1267497	1236433
SRR3131216	SAMN04446520	SRS1267515	1112478
SRR3131217	SAMN04446538	SRS1267514	1188826
SRR3131219	SAMN04446540	SRS1267512	1042490
SRR3131220	SAMN04446541	SRS1267529	1170282
SRR3131221	SAMN04446542	SRS1267528	1094106
SRR3131222	SAMN04446543	SRS1267527	1119445
SRR3131223	SAMN04446544	SRS1267526	780842
SRR3131224	SAMN04446545	SRS1267525	1015581
SRR3131225	SAMN04446546	SRS1267524	1144809
SRR3131226	SAMN04446547	SRS1267523	1052362
SRR3131227	SAMN04446548	SRS1267522	656697
SRR3131228	SAMN04446549	SRS1267521	1032859
SRR3131229	SAMN04446550	SRS1267520	992783
SRR3131230	SAMN04446551	SRS1267519	998555
SRR3131234	SAMN04446555	SRS1267535	1468638
SRR3131235	SAMN04446556	SRS1267534	1132376
SRR3131236	SAMN04446557	SRS1267533	1142673
SRR3131237	SAMN04446558	SRS1267532	1116549
SRR3131238	SAMN04446559	SRS1267531	1166955
SRR3131239	SAMN04446560	SRS1267530	1049657
SRR3131240	SAMN04446535	SRS1267539	1536442
SRR3133084	SAMN04447699	SRS1268491	1166889
SRR3133085	SAMN04447700	SRS1268531	1128961
SRR3133086	SAMN04447701	SRS1268530	945509
SRR3133087	SAMN04447702	SRS1268529	989492
SRR3133088	SAMN04447703	SRS1268528	944439
SRR3133089	SAMN04447704	SRS1268527	985383
SRR3133090	SAMN04447705	SRS1268526	878214
SRR3133091	SAMN04447706	SRS1268525	822872
SRR3133092	SAMN04447707	SRS1268524	787090
SRR3133093	SAMN04447708	SRS1268523	930181
SRR3133094	SAMN04447709	SRS1268503	807520
SRR3133095	SAMN04447710	SRS1268502	893297
SRR3133096	SAMN04447711	SRS1268501	1268173
SRR3133097	SAMN04447712	SRS1268500	1063053
SRR3133098	SAMN04447713	SRS1268499	1163073
SRR3133099	SAMN04447714	SRS1268498	1028734
SRR3133100	SAMN04447715	SRS1268497	1174609
SRR3133101	SAMN04447716	SRS1268496	631277
SRR3133102	SAMN04447717	SRS1268495	973075
SRR3133103	SAMN04447718	SRS1268494	1023293
SRR3133104	SAMN04447719	SRS1268493	1197835
SRR3133105	SAMN04447720	SRS1268492	1286929
SRR3133106	SAMN04447721	SRS1268505	1222118
SRR3133107	SAMN04447722	SRS1268504	1198501
SRR3135171	SAMN04448596	SRS1269938	546795
SRR3135275	SAMN04448648	SRS1269984	444569
SRR3137567	SAMN04450953	SRS1271519	676851
SRR3137568	SAMN04450954	SRS1271518	631348
SRR3137569	SAMN04450955	SRS1271553	584471
SRR3137570	SAMN04450956	SRS1271552	653387
SRR3137571	SAMN04450957	SRS1271551	717873
SRR3137572	SAMN04450958	SRS1271550	766768
SRR3137574	SAMN04450960	SRS1271548	664468
SRR3137575	SAMN04450961	SRS1271531	731953
SRR3137579	SAMN04450965	SRS1271526	538055
SRR3137580	SAMN04450966	SRS1271525	586640
SRR3137581	SAMN04450967	SRS1271523	774059
SRR3137582	SAMN04450968	SRS1271524	743354
SRR3137583	SAMN04450969	SRS1271522	646224
SRR3137584	SAMN04450970	SRS1271521	746741
SRR3137585	SAMN04450971	SRS1271520	600387
SRR3137586	SAMN04450972	SRS1271538	705068
SRR3137587	SAMN04450973	SRS1271537	618904
SRR3137588	SAMN04450974	SRS1271536	661880
SRR3137589	SAMN04450975	SRS1271535	611110
SRR3137590	SAMN04450976	SRS1271534	542485
SRR3146378	SAMN04457322	SRS1276762	895785
SRR3146379	SAMN04457323	SRS1276761	1358016
SRR3146380	SAMN04457324	SRS1276760	1040342
SRR3146381	SAMN04457325	SRS1276759	1042866
SRR3146382	SAMN04457326	SRS1276758	1239837
SRR3146383	SAMN04457327	SRS1276757	1118816
SRR3146384	SAMN04457328	SRS1276756	998233
SRR3146385	SAMN04457329	SRS1276754	1179861
SRR3146386	SAMN04457330	SRS1276755	974216
SRR3146387	SAMN04457331	SRS1276753	1242365
SRR3151888	SAMN04479995	SRS1279264	1184866
SRR3151889	SAMN04479996	SRS1279263	1074100
SRR3151890	SAMN04479997	SRS1279262	1100166
SRR3151891	SAMN04479998	SRS1279261	711798
SRR3152160	SAMN04480078	SRS1279435	1226874
SRR3152161	SAMN04480079	SRS1279434	970944
SRR3152162	SAMN04480080	SRS1279433	1046756
SRR3152492	SAMN04480650	SRS1279630	661696
