accession	biosample	secondary_sample	read_count
SRR3242043	SAMN04568512	SRS1350041	2123833
SRR3242044	SAMN04568513	SRS1350040	1676794
SRR3242045	SAMN04568514	SRS1350039	1696929
SRR3242046	SAMN04568515	SRS1350038	1975879
SRR3242047	SAMN04568516	SRS1350037	1837069
SRR3242048	SAMN04568517	SRS1350063	2446370
SRR3242049	SAMN04568518	SRS1350062	1500363
SRR3242050	SAMN04568519	SRS1350061	1465407
SRR3242051	SAMN04568520	SRS1350060	1595785
SRR3242052	SAMN04568521	SRS1350053	1730970
SRR3242053	SAMN04568522	SRS1350052	1819063
SRR3242054	SAMN04568523	SRS1350051	2383292
SRR3502988	SAMN04993337	SRS1436462	2714811
SRR3502990	SAMN04993338	SRS1436463	3720299
SRR3502996	SAMN04993339	SRS1436464	3056891
SRR3503026	SAMN04993340	SRS1436470	3758624
SRR3503028	SAMN04993341	SRS1436473	1629672
SRR3503029	SAMN04993343	SRS1436474	2442326
SRR3503033	SAMN04993345	SRS1436477	1940046
SRR3503035	SAMN04993349	SRS1436479	3483476
SRR3503038	SAMN04993350	SRS1436481	2868926
SRR3503441	SAMN04993351	SRS1436482	3913619
SRR3503443	SAMN04993353	SRS1436811	1995361
SRR3503444	SAMN04993355	SRS1436812	1496543
SRR3503448	SAMN04993357	SRS1436813	3665259
SRR3503451	SAMN04993359	SRS1436817	2289889
SRR3503456	SAMN04993360	SRS1436822	1980268
SRR3503457	SAMN04993363	SRS1436823	2021734
SRR3503458	SAMN04993365	SRS1436824	2573339
SRR3503459	SAMN04993366	SRS1436825	1633748
SRR3503472	SAMN04993370	SRS1436828	4124141
SRR3503473	SAMN04993372	SRS1436831	2309518
SRR3503474	SAMN04993374	SRS1436832	2059719
SRR3503476	SAMN04993377	SRS1436833	2043921
SRR3503601	SAMN04993378	SRS1436898	2439160
SRR3503602	SAMN04993379	SRS1436897	1859086
SRR3503603	SAMN04993381	SRS1436900	11379272
SRR3503610	SAMN04993382	SRS1436901	2758036
SRR3503615	SAMN04993384	SRS1436903	2236199
SRR3503617	SAMN04993412	SRS1436908	1786280
SRR3503620	SAMN04993385	SRS1436907	3184044
SRR3503622	SAMN04993386	SRS1436912	2011209
SRR3503626	SAMN04993413	SRS1436917	3520920
SRR3503631	SAMN04993414	SRS1436921	2445632
SRR3503820	SAMN04993416	SRS1437076	1791410
SRR3503822	SAMN04993417	SRS1437077	3749264
SRR3503825	SAMN04993418	SRS1437078	2959987
SRR3503827	SAMN04993419	SRS1437079	3557685
SRR3503828	SAMN04993420	SRS1437080	2569274
SRR3503830	SAMN04993415	SRS1437082	118064705
SRR3503835	SAMN04993421	SRS1437083	3158448
SRR3503836	SAMN04993422	SRS1437084	1912924
SRR3503841	SAMN04993424	SRS1437087	2416143
SRR3503843	SAMN04993426	SRS1437091	2504129
SRR3503845	SAMN04993427	SRS1437092	2918133
SRR3503898	SAMN04993429	SRS1437124	49510557
SRR3503900	SAMN04993430	SRS1437125	1903063
SRR3503903	SAMN04993434	SRS1437127	3152778
SRR3503904	SAMN04993432	SRS1437126	2369343
SRR3503905	SAMN04993435	SRS1437128	3746549
SRR3503907	SAMN04993437	SRS1437129	2504931
SRR3503909	SAMN04993438	SRS1437130	2534603
SRR3503910	SAMN04993440	SRS1437131	2613926
SRR3503911	SAMN04993442	SRS1437132	1815559
SRR3503913	SAMN04993444	SRS1437133	3522055
SRR3503914	SAMN04993445	SRS1437134	2391827
SRR3503915	SAMN04993447	SRS1437135	2022667
SRR3503957	SAMN04993449	SRS1437137	3253531
SRR3504013	SAMN04993451	SRS1437192	3096304
SRR3504014	SAMN04993453	SRS1437194	1678449
SRR3504016	SAMN04993455	SRS1437193	1589121
SRR3504095	SAMN04993388	SRS1437195	3510110
SRR3504097	SAMN04993390	SRS1437272	3249141
SRR3504099	SAMN04993393	SRS1437273	3523199
SRR3504209	SAMN04993397	SRS1437277	2510454
SRR3504211	SAMN04993399	SRS1437278	3238008
SRR3504213	SAMN04993401	SRS1437279	2967189
SRR3504215	SAMN04993405	SRS1437280	1941072
SRR3504216	SAMN04993407	SRS1437281	1766754
SRR3504218	SAMN04993409	SRS1437282	2334327
SRR3504220	SAMN04993411	SRS1437283	2064970
SRR3536229	SAMN04993368	SRS1442612	3488791
SRR4417569	SAMN04901663	SRS1739515	1246173
SRR4417570	SAMN04901664	SRS1739514	1180492
SRR4417571	SAMN04901673	SRS1739516	965071
SRR4417572	SAMN04901674	SRS1739520	886239
SRR4417573	SAMN04901675	SRS1739518	797448
SRR4417574	SAMN04901676	SRS1739519	832246
SRR4417575	SAMN04901677	SRS1739517	756542
SRR4417577	SAMN04901678	SRS1739522	760635
SRR4417578	SAMN04901679	SRS1739523	835512
SRR4417579	SAMN04901680	SRS1739521	839938
SRR4417581	SAMN04901681	SRS1739524	883252
SRR4417582	SAMN04901682	SRS1739525	367925
SRR4417583	SAMN04901665	SRS1739526	1443179
SRR4417585	SAMN04901683	SRS1739527	668440
SRR4417586	SAMN04901684	SRS1739528	683535
SRR4417587	SAMN04901685	SRS1739529	818706
SRR4417589	SAMN04901686	SRS1739533	727216
SRR4417590	SAMN04901687	SRS1739530	758662
SRR4417591	SAMN04901688	SRS1739531	825448
SRR4417592	SAMN04901689	SRS1739532	846642
SRR4417593	SAMN04901690	SRS1739534	768626
SRR4417594	SAMN04901691	SRS1739535	865901
SRR4417595	SAMN04901692	SRS1739539	783758
SRR4417598	SAMN04901693	SRS1739536	865685
SRR4417599	SAMN04901694	SRS1739538	847922
SRR4417600	SAMN04901695	SRS1739541	807565
SRR4417601	SAMN04901696	SRS1739540	1047133
SRR4417602	SAMN04901697	SRS1739542	878105
SRR4417603	SAMN04901698	SRS1739543	877304
SRR4417604	SAMN04901699	SRS1739544	888142
SRR4417605	SAMN04901700	SRS1739545	826525
SRR4417606	SAMN04901701	SRS1739546	805766
SRR4417607	SAMN04901702	SRS1739547	828770
SRR4417608	SAMN04901667	SRS1739548	893323
SRR4417609	SAMN04901703	SRS1739551	729659
SRR4417610	SAMN04901668	SRS1739549	863976
SRR4417611	SAMN04901669	SRS1739550	855499
SRR4417612	SAMN04901670	SRS1739552	786680
SRR4417613	SAMN04901671	SRS1739553	815664
SRR4417614	SAMN04901672	SRS1739554	866558
SRR5120223	SAMN06007771	SRS1870442	1745755
SRR5237398	SAMN06311521	SRS1963406	908096
SRR5445923	SAMN06754731	SRS2122761	939950
SRR5445925	SAMN06754729	SRS2122764	1518644
SRR5477432	SAMN06827909	SRS2146840	2534033
SRR5477433	SAMN06827878	SRS2146844	1993273
SRR5477434	SAMN06827876	SRS2146841	2332912
SRR5477435	SAMN06827877	SRS2146839	2337901
SRR5477436	SAMN06827875	SRS2146842	2629731
SRR5477437	SAMN06827873	SRS2146845	1649704
SRR5477438	SAMN06827874	SRS2146843	245171
SRR5477439	SAMN06827872	SRS2146846	1133627
SRR5477440	SAMN06827910	SRS2146838	1727355
SRR5511001	SAMN06837745	SRS2166980	2013310
SRR5511002	SAMN06837743	SRS2166982	1613128
SRR5511003	SAMN06837744	SRS2166981	2241504
SRR5511005	SAMN06837773	SRS2166984	1940386
SRR5511006	SAMN06837775	SRS2166985	1701983
SRR5511007	SAMN06837776	SRS2166986	1989864
SRR5511008	SAMN06837774	SRS2166987	2291610
SRR5511025	SAMN06837772	SRS2167004	1957896
SRR5511027	SAMN06837771	SRS2167006	1572279
SRR5511028	SAMN06837769	SRS2167007	1811572
SRR5511029	SAMN06837765	SRS2167008	2025012
SRR5511031	SAMN06837767	SRS2167010	1628546
SRR5511034	SAMN06837763	SRS2167013	1448943
SRR5511035	SAMN06837762	SRS2167014	1752174
SRR5511047	SAMN06837759	SRS2167026	2933433
SRR5511048	SAMN06837761	SRS2167027	3256873
SRR5511049	SAMN06837758	SRS2167028	1226852
SRR5511050	SAMN06837757	SRS2167029	1716033
SRR5511051	SAMN06837756	SRS2167030	1961049
SRR5511077	SAMN06837752	SRS2167056	2830402
SRR5511079	SAMN06837750	SRS2167058	1827533
SRR5511080	SAMN06837751	SRS2167059	1511678
SRR5511081	SAMN06837753	SRS2167060	2044612
SRR5511082	SAMN06837749	SRS2167061	1978327
SRR5511083	SAMN06837748	SRS2167062	1733156
SRR5511084	SAMN06837742	SRS2167064	2073065
SRR5511086	SAMN06837740	SRS2167065	575750
SRR5511179	SAMN06837741	SRS2167158	1500894
SRR5511181	SAMN06837803	SRS2167160	2224724
SRR5511182	SAMN06837807	SRS2167161	2334196
SRR5511183	SAMN06837737	SRS2167162	2322808
SRR5511209	SAMN06837797	SRS2167188	2247279
SRR5511210	SAMN06837800	SRS2167190	1664693
SRR5511211	SAMN06837802	SRS2167189	1855750
SRR5511212	SAMN06837799	SRS2167191	2294251
SRR5511213	SAMN06837791	SRS2167193	1548103
SRR5511214	SAMN06837796	SRS2167192	2104636
SRR5511215	SAMN06837794	SRS2167194	2260274
SRR5511216	SAMN06837792	SRS2167195	1966181
SRR5511217	SAMN06837787	SRS2167197	2639044
SRR5511218	SAMN06837789	SRS2167198	1351352
SRR5511219	SAMN06837788	SRS2167196	1793173
SRR5511220	SAMN06837786	SRS2167199	3253525
SRR5511222	SAMN06837783	SRS2167201	2690596
SRR5511223	SAMN06837784	SRS2167202	2438223
SRR5511227	SAMN06837812	SRS2167239	1228155
SRR5511231	SAMN06837813	SRS2167243	1534834
SRR5511232	SAMN06837809	SRS2167244	2274950
SRR5511233	SAMN06837811	SRS2167245	1663652
SRR5511234	SAMN06837836	SRS2167246	1618946
SRR5511235	SAMN06837810	SRS2167247	2328644
SRR5511236	SAMN06837835	SRS2167248	1712141
SRR5511237	SAMN06837832	SRS2167249	1483168
SRR5511238	SAMN06837833	SRS2167250	955738
SRR5511239	SAMN06837834	SRS2167251	2063276
SRR5511240	SAMN06837831	SRS2167252	2239454
SRR5511241	SAMN06837830	SRS2167253	2032224
SRR5511242	SAMN06837829	SRS2167254	1670055
SRR5511243	SAMN06837825	SRS2167255	1874082
SRR5511244	SAMN06837828	SRS2167256	3791736
SRR5511246	SAMN06837826	SRS2167258	2870743
SRR5511247	SAMN06837823	SRS2167259	1506978
SRR5511248	SAMN06837824	SRS2167260	2031491
SRR5511249	SAMN06837822	SRS2167261	2416350
SRR5511250	SAMN06837821	SRS2167262	2448853
SRR5511284	SAMN06837817	SRS2167296	815866
SRR5511285	SAMN06837818	SRS2167297	826712
SRR5511286	SAMN06837816	SRS2167298	1305574
SRR5511287	SAMN06837819	SRS2167299	1629364
SRR5511288	SAMN06837814	SRS2167300	1178967
SRR5511289	SAMN06837815	SRS2167301	1506917
SRR5519632	SAMN06892213	SRS2174164	1394984
SRR5519633	SAMN06892214	SRS2174163	1595757
SRR5519634	SAMN06892212	SRS2174165	1470659
SRR5519635	SAMN06892216	SRS2174166	1564508
SRR5519636	SAMN06892215	SRS2174167	1540293
SRR5519638	SAMN06892211	SRS2174169	1573945
SRR5519645	SAMN06892209	SRS2174170	1569677
SRR5519647	SAMN06892210	SRS2174199	1561411
SRR5519650	SAMN06892248	SRS2174202	1489926
SRR5519653	SAMN06892249	SRS2174205	1427373
SRR5519654	SAMN06892244	SRS2174206	1505688
SRR5519656	SAMN06892245	SRS2174208	1646545
SRR5519657	SAMN06892242	SRS2174209	1523654
SRR5519665	SAMN06892241	SRS2174216	1462707
SRR5519667	SAMN06892237	SRS2174219	1413126
SRR5519668	SAMN06892239	SRS2174220	1479363
SRR5519669	SAMN06892227	SRS2174221	1507829
SRR5519672	SAMN06892231	SRS2174224	1617037
SRR5519673	SAMN06892234	SRS2174225	1495824
SRR5519674	SAMN06892224	SRS2174226	1530809
SRR5519711	SAMN06892225	SRS2174227	1305720
SRR5519712	SAMN06892226	SRS2174228	1409894
SRR5519713	SAMN06892223	SRS2174229	1541051
SRR5519714	SAMN06892222	SRS2174230	1321358
SRR5519716	SAMN06892220	SRS2174231	1591797
SRR5519720	SAMN06892218	SRS2174232	1528164
SRR5519721	SAMN06892217	SRS2174233	1611357
SRR5519722	SAMN06892219	SRS2174234	1545185
SRR5519723	SAMN06892221	SRS2174235	1578757
SRR5519725	SAMN06892299	SRS2174237	1384450
SRR5519726	SAMN06892300	SRS2174238	1515002
SRR5519727	SAMN06892296	SRS2174240	1413238
SRR5519728	SAMN06892297	SRS2174239	1479622
SRR5519729	SAMN06892292	SRS2174241	1480046
SRR5519730	SAMN06892294	SRS2174242	1688081
SRR5519731	SAMN06892295	SRS2174243	1345311
SRR5519732	SAMN06892293	SRS2174244	1554193
SRR5519733	SAMN06892290	SRS2174245	1466975
SRR5519734	SAMN06892287	SRS2174246	1471589
SRR5519735	SAMN06892285	SRS2174247	1432895
SRR5519736	SAMN06892288	SRS2174248	1633547
SRR5519737	SAMN06892289	SRS2174249	1419441
SRR5519739	SAMN06892283	SRS2174250	1457498
SRR5519740	SAMN06892284	SRS2174251	1475231
SRR5519741	SAMN06892282	SRS2174252	1511552
SRR5519742	SAMN06892281	SRS2174253	1527312
SRR5519744	SAMN06892277	SRS2174255	1499188
SRR5519746	SAMN06892276	SRS2174257	1489839
SRR5519747	SAMN06892275	SRS2174258	1571909
SRR5519748	SAMN06892260	SRS2174259	1437401
SRR5519756	SAMN06892258	SRS2174267	1576040
SRR5519757	SAMN06892256	SRS2174268	1498257
SRR5519758	SAMN06892254	SRS2174269	1455355
SRR5519759	SAMN06892257	SRS2174270	1475010
SRR5519760	SAMN06892205	SRS2174271	1504569
SRR5519761	SAMN06892204	SRS2174272	1603495
SRR5519762	SAMN06892331	SRS2174274	1313619
SRR5519763	SAMN06892206	SRS2174273	1470961
SRR5519764	SAMN06892325	SRS2174275	1563913
SRR5519765	SAMN06892330	SRS2174276	1657831
SRR5519766	SAMN06892328	SRS2174279	1641354
SRR5519767	SAMN06892326	SRS2174277	1550692
SRR5519768	SAMN06892329	SRS2174278	1432554
SRR5519804	SAMN06892323	SRS2174311	1527193
SRR5519805	SAMN06892324	SRS2174312	1597586
SRR5519806	SAMN06892321	SRS2174313	1348744
SRR5519807	SAMN06892322	SRS2174315	1623246
SRR5519808	SAMN06892320	SRS2174316	1468529
SRR5519809	SAMN06892316	SRS2174317	1233298
SRR5519810	SAMN06892315	SRS2174318	1159394
SRR5519811	SAMN06892318	SRS2174319	1565612
SRR5519812	SAMN06892314	SRS2174320	1423499
SRR5519871	SAMN06892311	SRS2174379	1462851
SRR5519872	SAMN06892310	SRS2174380	1615663
SRR5519899	SAMN06892308	SRS2174407	1653820
SRR5660177	SAMN07203008	SRS2263962	1240326
SRR5660178	SAMN07203011	SRS2263964	1565369
SRR5660180	SAMN07203012	SRS2263966	1219288
SRR5660181	SAMN07203010	SRS2263967	1179743
SRR5660183	SAMN07203009	SRS2263968	1481298
SRR5862467	SAMN07410719	SRS2379970	1466789
SRR5862475	SAMN07410709	SRS2379962	1126284
SRR5891469	SAMN07445130	SRS2403181	3174183
SRR5891471	SAMN07445129	SRS2403182	3158312
SRR5891472	SAMN07445128	SRS2403183	2562287
SRR5891473	SAMN07445127	SRS2403184	2453964
SRR5891475	SAMN07445126	SRS2403186	2967683
SRR5891476	SAMN07445125	SRS2403185	2549262
SRR5891477	SAMN07445132	SRS2403187	3066490
SRR5891478	SAMN07445131	SRS2403188	2556917
SRR5891479	SAMN07445124	SRS2403189	2888053
SRR5891482	SAMN07445123	SRS2403190	3261752
SRR5891483	SAMN07445121	SRS2403191	2966710
SRR5891484	SAMN07445122	SRS2403192	2705571
SRR5891485	SAMN07445119	SRS2403193	3019437
SRR5891486	SAMN07445120	SRS2403194	2457900
SRR5891488	SAMN07445118	SRS2403195	2951484
SRR5891490	SAMN07445133	SRS2403196	2988927
SRR5891491	SAMN07445114	SRS2403197	1933231
SRR5891492	SAMN07445115	SRS2403198	3295056
SRR5891493	SAMN07445113	SRS2403199	2174154
SRR5891495	SAMN07445112	SRS2403200	2500213
SRR5891497	SAMN07445111	SRS2403201	2100978
SRR5891499	SAMN07445116	SRS2403202	2345299
SRR5891500	SAMN07445117	SRS2403203	2977858
SRR5901132	SAMN07450848	SRS2407853	836478
SRR5943593	SAMN07450689	SRS2438048	3215748
SRR5943594	SAMN07450687	SRS2438049	3326174
SRR5943595	SAMN07450688	SRS2438050	2727192
SRR5943596	SAMN07450686	SRS2438051	3523054
SRR5943597	SAMN07450683	SRS2438053	3098042
SRR5943598	SAMN07450685	SRS2438052	3474047
SRR5943599	SAMN07450684	SRS2438054	3219039
SRR5943600	SAMN07450597	SRS2438055	3051376
SRR5943601	SAMN07450598	SRS2438056	3790411
SRR5943610	SAMN07450596	SRS2438065	3441026
SRR5943611	SAMN07450595	SRS2438066	3193778
SRR5943612	SAMN07450594	SRS2438067	3506493
SRR5943613	SAMN07450593	SRS2438068	3535851
SRR5943614	SAMN07450722	SRS2438069	3436085
SRR5943615	SAMN07450720	SRS2438070	3224785
SRR5943616	SAMN07450721	SRS2438071	3292942
SRR5943617	SAMN07450719	SRS2438072	3294220
SRR5943618	SAMN07450718	SRS2438073	3629535
SRR5943619	SAMN07450717	SRS2438074	3374715
SRR5943620	SAMN07450715	SRS2438075	3661528
SRR5943621	SAMN07450716	SRS2438076	3567671
SRR5943622	SAMN07450714	SRS2438077	3041797
SRR6037664	SAMN07602915	SRS2514202	1535181
SRR6799412	SAMN04014911	SRS1350016	10158282
SRR6799415	SAMN04014897	SRS1350019	9365401
SRR6807653	SAMN04014893	SRS1350020	9822748
SRR7821049	SAMN10036073	SRS3766944	11618466
SRR7821050	SAMN10036074	SRS3766943	12213307
SRR7821051	SAMN10036071	SRS3766942	16358202
SRR7821052	SAMN10036072	SRS3766940	12786901
SRR7821053	SAMN10036077	SRS3766941	13684259
SRR7821054	SAMN10036078	SRS3766939	13309233
SRR7821055	SAMN10036075	SRS3766938	11851250
SRR7821056	SAMN10036076	SRS3766937	14102112
SRR7821057	SAMN10036079	SRS3766936	14300049
SRR7821058	SAMN10036080	SRS3766935	11921945
SRR7821059	SAMN10036083	SRS3766934	12126962
SRR7821060	SAMN10036084	SRS3766933	13299505
SRR7821061	SAMN10036081	SRS3766932	12850289
SRR7821062	SAMN10036082	SRS3766931	14197188
SRR7821063	SAMN10036087	SRS3766930	13746725
SRR7821064	SAMN10036088	SRS3766929	13811802
SRR7821065	SAMN10036085	SRS3766928	10065956
SRR7821066	SAMN10036086	SRS3766927	12599115
SRR7821067	SAMN10036089	SRS3766926	12006559
SRR7821068	SAMN10036090	SRS3766924	10725708
SRR7821069	SAMN10036093	SRS3766925	13701372
SRR7821070	SAMN10036092	SRS3766923	12650761
SRR7821071	SAMN10036091	SRS3766922	12710459
SRR8837010	SAMN10086814	SRS4570478	10948209
SRR8837150	SAMN10086821	SRS4570480	896231
