sample_accession	run_accession	aws_url
SAMD00092905	DRR101011	https://allthebacteria-assemblies.s3.eu-west-2.amazonaws.com/SAMD00092905.fa.gz
SAMD00099755	DRR111568	https://allthebacteria-assemblies.s3.eu-west-2.amazonaws.com/SAMD00099755.fa.gz
SAMD00099758	DRR111571	https://allthebacteria-assemblies.s3.eu-west-2.amazonaws.com/SAMD00099758.fa.gz
SAMD00099762	DRR111575	https://allthebacteria-assemblies.s3.eu-west-2.amazonaws.com/SAMD00099762.fa.gz
SAMD00099765	DRR111578	https://allthebacteria-assemblies.s3.eu-west-2.amazonaws.com/SAMD00099765.fa.gz
SAMD00099766	DRR111579	https://allthebacteria-assemblies.s3.eu-west-2.amazonaws.com/SAMD00099766.fa.gz
SAMD00099771	DRR111584	https://allthebacteria-assemblies.s3.eu-west-2.amazonaws.com/SAMD00099771.fa.gz
SAMD00099772	DRR111585	https://allthebacteria-assemblies.s3.eu-west-2.amazonaws.com/SAMD00099772.fa.gz
SAMD00099788	DRR111601	https://allthebacteria-assemblies.s3.eu-west-2.amazonaws.com/SAMD00099788.fa.gz
SAMD00099789	DRR111602	https://allthebacteria-assemblies.s3.eu-west-2.amazonaws.com/SAMD00099789.fa.gz
SAMD00099791	DRR111604	https://allthebacteria-assemblies.s3.eu-west-2.amazonaws.com/SAMD00099791.fa.gz
SAMD00099792	DRR111605	https://allthebacteria-assemblies.s3.eu-west-2.amazonaws.com/SAMD00099792.fa.gz
SAMD00099793	DRR111606	https://allthebacteria-assemblies.s3.eu-west-2.amazonaws.com/SAMD00099793.fa.gz
SAMD00099797	DRR111610	https://allthebacteria-assemblies.s3.eu-west-2.amazonaws.com/SAMD00099797.fa.gz
SAMD00108700	DRR120610	https://allthebacteria-assemblies.s3.eu-west-2.amazonaws.com/SAMD00108700.fa.gz
SAMD00108704	DRR120614	https://allthebacteria-assemblies.s3.eu-west-2.amazonaws.com/SAMD00108704.fa.gz
SAMD00108709	DRR120619	https://allthebacteria-assemblies.s3.eu-west-2.amazonaws.com/SAMD00108709.fa.gz
SAMD00108711	DRR120561	https://allthebacteria-assemblies.s3.eu-west-2.amazonaws.com/SAMD00108711.fa.gz
SAMD00108713	DRR120563	https://allthebacteria-assemblies.s3.eu-west-2.amazonaws.com/SAMD00108713.fa.gz
SAMD00108714	DRR120564	https://allthebacteria-assemblies.s3.eu-west-2.amazonaws.com/SAMD00108714.fa.gz
SAMD00108716	DRR120566	https://allthebacteria-assemblies.s3.eu-west-2.amazonaws.com/SAMD00108716.fa.gz
SAMD00108717	DRR120567	https://allthebacteria-assemblies.s3.eu-west-2.amazonaws.com/SAMD00108717.fa.gz
SAMD00108720	DRR120570	https://allthebacteria-assemblies.s3.eu-west-2.amazonaws.com/SAMD00108720.fa.gz
SAMD00108721	DRR120571	https://allthebacteria-assemblies.s3.eu-west-2.amazonaws.com/SAMD00108721.fa.gz
SAMD00108722	DRR120572	https://allthebacteria-assemblies.s3.eu-west-2.amazonaws.com/SAMD00108722.fa.gz
SAMD00108723	DRR120573	https://allthebacteria-assemblies.s3.eu-west-2.amazonaws.com/SAMD00108723.fa.gz
SAMD00108724	DRR120574	https://allthebacteria-assemblies.s3.eu-west-2.amazonaws.com/SAMD00108724.fa.gz
SAMD00108727	DRR120577	https://allthebacteria-assemblies.s3.eu-west-2.amazonaws.com/SAMD00108727.fa.gz
SAMD00108730	DRR120580	https://allthebacteria-assemblies.s3.eu-west-2.amazonaws.com/SAMD00108730.fa.gz
SAMD00108731	DRR120581	https://allthebacteria-assemblies.s3.eu-west-2.amazonaws.com/SAMD00108731.fa.gz
SAMD00108736	DRR120586	https://allthebacteria-assemblies.s3.eu-west-2.amazonaws.com/SAMD00108736.fa.gz
SAMD00108737	DRR120587	https://allthebacteria-assemblies.s3.eu-west-2.amazonaws.com/SAMD00108737.fa.gz
SAMD00108738	DRR120588	https://allthebacteria-assemblies.s3.eu-west-2.amazonaws.com/SAMD00108738.fa.gz
SAMD00108739	DRR120589	https://allthebacteria-assemblies.s3.eu-west-2.amazonaws.com/SAMD00108739.fa.gz
SAMD00108740	DRR120590	https://allthebacteria-assemblies.s3.eu-west-2.amazonaws.com/SAMD00108740.fa.gz
SAMD00108741	DRR164893	https://allthebacteria-assemblies.s3.eu-west-2.amazonaws.com/SAMD00108741.fa.gz
SAMD00108742	DRR120591	https://allthebacteria-assemblies.s3.eu-west-2.amazonaws.com/SAMD00108742.fa.gz
SAMD00108744	DRR164894	https://allthebacteria-assemblies.s3.eu-west-2.amazonaws.com/SAMD00108744.fa.gz
SAMD00108745	DRR120593	https://allthebacteria-assemblies.s3.eu-west-2.amazonaws.com/SAMD00108745.fa.gz
SAMD00108748	DRR120596	https://allthebacteria-assemblies.s3.eu-west-2.amazonaws.com/SAMD00108748.fa.gz
SAMD00108750	DRR120598	https://allthebacteria-assemblies.s3.eu-west-2.amazonaws.com/SAMD00108750.fa.gz
SAMD00108751	DRR120599	https://allthebacteria-assemblies.s3.eu-west-2.amazonaws.com/SAMD00108751.fa.gz
SAMD00108753	DRR120601	https://allthebacteria-assemblies.s3.eu-west-2.amazonaws.com/SAMD00108753.fa.gz
SAMD00108758	DRR120606	https://allthebacteria-assemblies.s3.eu-west-2.amazonaws.com/SAMD00108758.fa.gz
SAMD00108759	DRR122444	https://allthebacteria-assemblies.s3.eu-west-2.amazonaws.com/SAMD00108759.fa.gz
SAMD00108760	DRR122445	https://allthebacteria-assemblies.s3.eu-west-2.amazonaws.com/SAMD00108760.fa.gz
SAMD00108761	DRR122446	https://allthebacteria-assemblies.s3.eu-west-2.amazonaws.com/SAMD00108761.fa.gz
